rootA,rootASafeKey,rootALatin,rootB,rootBSafeKey,rootBLatin,sharedVerses,pmi,dice,llr
smw,smw,s-m-w,ArD,uAruD,a-r-ḍ,224,3.17,0.566,868.29
Alm,uAlm,a-l-m,E*b,uEdhb,ʿ-dh-b,70,4.15,0.342,399.1
Eml,uEml,ʿ-m-l,SlH,uSluH,ṣ-l-ḥ,93,3.45,0.385,357.46
jry,jry,j-r-y,tHt,tuHt,t-ḥ-t,40,6.28,0.702,349.04
dnw,dnw,d-n-w,Hyy,uHyy,ḥ-y-y,66,4.32,0.457,338.37
jry,jry,j-r-y,nhr,nhr,n-h-r,45,5.43,0.542,316.02
mwt,mwt,m-w-t,Hyy,uHyy,ḥ-y-y,65,4.14,0.428,310.82
kll,kll,k-l-l,$yA,shyuA,sh-y-a,135,2.4,0.336,304.96
gfr,gfr,gh-f-r,rHm,ruHm,r-ḥ-m,91,3.17,0.353,302.86
nhr,nhr,n-h-r,tHt,tuHt,t-ḥ-t,40,5.61,0.526,297.22
lyl,lyl,l-y-l,nhr,nhr,n-h-r,42,4.99,0.459,254.13
Alh,uAlh,a-l-h,Elm,uElm,ʿ-l-m,408,0.9,0.313,241.19
$yA,shyuA,sh-y-a,Alh,uAlh,a-l-h,282,1.06,0.242,221.64
jnn,jnn,j-n-n,tHt,tuHt,t-ḥ-t,38,4.6,0.309,216.13
dnw,dnw,d-n-w,Axr,uAxr,a-kh-r,57,3.52,0.308,212.94
Ezz,uEzz,ʿ-z-z,Hkm,uHkm,ḥ-k-m,49,3.8,0.321,201.3
kyf,kyf,k-y-f,nZr,nuZr,n-ẓ-r,36,4.56,0.364,187.58
qdr,qdr,q-d-r,$yA,shyuA,sh-y-a,64,2.88,0.225,185.75
jnn,jnn,j-n-n,jry,jry,j-r-y,37,4.2,0.285,177.54
qmr,qmr,q-m-r,$ms,shms,sh-m-s,18,7.08,0.621,170.55
Slw,uSlw,ṣ-l-w,zkw,zkw,z-k-w,28,5.11,0.384,169.94
k*b,kdhb,k-dh-b,Alw,uAlw,a-l-w,31,4.35,0.211,169.11
jnn,jnn,j-n-n,nhr,nhr,n-h-r,42,3.71,0.282,164.9
Alh,uAlh,a-l-h,Amn,uAmn,a-m-n,372,0.77,0.286,163.38
dxl,dxl,d-kh-l,jnn,jnn,j-n-n,41,3.55,0.267,150.05
mvl,mvl,m-th-l,Drb,uDrb,ḍ-r-b,29,4.5,0.287,149.34
Amn,uAmn,a-m-n,SlH,uSluH,ṣ-l-ḥ,82,2.06,0.184,146.01
smw,smw,s-m-w,xlq,xlq,kh-l-q,66,2.42,0.232,139.23
hdy,hdy,h-d-y,Dll,uDll,ḍ-l-l,52,2.83,0.237,136.79
dwn,dwn,d-w-n,Alh,uAlh,a-l-h,109,1.35,0.108,134.65
ktb,ktb,k-t-b,nzl,nzl,n-z-l,63,2.45,0.235,134.05
*wq,dhwq,dh-w-q,E*b,uEdhb,ʿ-dh-b,36,3.45,0.181,134.02
qwm,qwm,q-w-m,Slw,uSlw,ṣ-l-w,52,2.59,0.151,132.69
sbl,sbl,s-b-l,Sdd,uSdd,ṣ-d-d,25,4.54,0.244,131.71
qwl,qwl,q-w-l,rbb,rbb,r-b-b,329,0.77,0.292,128.47
bSr,buSr,b-ṣ-r,smE,smuE,s-m-ʿ,37,3.35,0.245,121.72
lbb,lbb,l-b-b,Awl,uAwl,a-w-l,16,5.3,0.184,119.25
tHt,tuHt,t-ḥ-t,xld,xld,kh-l-d,21,4.93,0.309,118.03
hwy,hwy,h-w-y,tbE,tbuE,t-b-ʿ,22,4.57,0.228,116.16
kyf,kyf,k-y-f,Eqb,uEqb,ʿ-q-b,23,4.55,0.293,114.93
Alh,uAlh,a-l-h,Hkm,uHkm,ḥ-k-m,127,1.16,0.123,113.85
kll,kll,k-l-l,qdr,qdr,q-d-r,45,2.71,0.189,111.72
tlw,tlw,t-l-w,Ayy,uAyy,a-y-y,33,3.26,0.159,111.36
jnn,jnn,j-n-n,xld,xld,kh-l-d,31,3.52,0.22,110.09
fsd,fsd,f-s-d,ArD,uAruD,a-r-ḍ,31,3.22,0.127,108.37
qwm,qwm,q-w-m,ywm,ywm,y-w-m,104,1.53,0.214,108.28
ktb,ktb,k-t-b,Aty,uAty,a-t-y,78,1.84,0.204,107.76
rbb,rbb,r-b-b,Alw,uAlw,a-l-w,33,2.67,0.073,106.82
qwm,qwm,q-w-m,SrT,uSruT,ṣ-r-ṭ,33,2.94,0.103,106.63
jry,jry,j-r-y,xld,xld,kh-l-d,21,4.57,0.28,105.36
srr,srr,s-r-r,Eln,uEln,ʿ-l-n,12,6.77,0.407,105.18
sbl,sbl,s-b-l,Alh,uAlh,a-l-h,112,1.18,0.11,104.2
ArD,uAruD,a-r-ḍ,xlq,xlq,kh-l-q,64,2.06,0.195,104.2
$ry,shry,sh-r-y,vmn,vmn,th-m-n,11,7.29,0.524,103.79
grb,grb,gh-r-b,$rq,shrq,sh-r-q,10,7.75,0.588,102.64
dEw,duEw,d-ʿ-w,dwn,dwn,d-w-n,35,3.08,0.216,100.98
nfx,nfx,n-f-kh,Swr,uSwr,ṣ-w-r,10,7.67,0.571,100.95
Amn,uAmn,a-m-n,Eml,uEml,ʿ-m-l,101,1.48,0.195,100.92
fwz,fwz,f-w-z,EZm,uEuZm,ʿ-ẓ-m,17,4.95,0.221,99.49
Hll,uHll,ḥ-l-l,Hrm,uHrm,ḥ-r-m,17,5.12,0.298,99.3
nxl,nxl,n-kh-l,Enb,uEnb,ʿ-n-b,9,7.99,0.581,97.77
Eml,uEml,ʿ-m-l,HbT,uHbuT,ḥ-b-ṭ,16,4.32,0.097,96.53
byn,byn,b-y-n,ydy,ydy,y-d-y,44,2.46,0.156,95.69
mwh,mwh,m-w-h,nzl,nzl,n-z-l,27,3.45,0.17,94.95
byn,byn,b-y-n,xlf,xlf,kh-l-f,45,2.41,0.158,94.92
nfE,nfuE,n-f-ʿ,Drr,uDrr,ḍ-r-r,17,4.95,0.286,94.4
dwn,dwn,d-w-n,wly,wly,w-l-y,35,2.93,0.203,93.64
hdy,hdy,h-d-y,SrT,uSruT,ṣ-r-ṭ,24,3.63,0.153,92.69
kfr,kfr,k-f-r,Amn,uAmn,a-m-n,126,1.22,0.212,92.28
nfs,nfs,n-f-s,Zlm,uZlm,ẓ-l-m,55,2.13,0.196,92.18
Hzn,uHzn,ḥ-z-n,xwf,xwf,kh-w-f,18,4.58,0.234,91.08
sbl,sbl,s-b-l,Dll,uDll,ḍ-l-l,34,2.93,0.204,90.5
nhr,nhr,n-h-r,xld,xld,kh-l-d,22,3.97,0.234,89.89
mss,mss,m-s-s,Drr,uDrr,ḍ-r-r,17,4.73,0.268,88.33
swA,swuA,s-w-a,Eml,uEml,ʿ-m-l,42,2.47,0.181,88.24
Elm,uElm,ʿ-l-m,Hkm,uHkm,ḥ-k-m,71,1.69,0.155,88.01
Alh,uAlh,a-l-h,wly,wly,w-l-y,124,1.03,0.119,87.13
gfr,gfr,gh-f-r,twb,twb,t-w-b,25,3.48,0.185,86.82
hlk,hlk,h-l-k,qry,qry,q-r-y,16,4.87,0.274,86.4
rHm,ruHm,r-ḥ-m,twb,twb,t-w-b,29,3.07,0.152,86.03
kvr,kvr,k-th-r,nws,nws,n-w-s,37,2.66,0.191,85.74
nZr,nuZr,n-ẓ-r,Eqb,uEqb,ʿ-q-b,21,3.94,0.222,85.08
qDy,quDy,q-ḍ-y,Amr,uAmr,a-m-r,24,3.49,0.168,84.39
dxl,dxl,d-kh-l,tHt,tuHt,t-ḥ-t,18,4.34,0.224,83.69
mwh,mwh,m-w-h,smw,smw,s-m-w,28,3.05,0.136,83.66
bdw,bdw,b-d-w,xfy,xfy,kh-f-y,11,6.25,0.367,82.76
hwn,hwn,h-w-n,E*b,uEdhb,ʿ-dh-b,19,3.76,0.105,82.48
byn,byn,b-y-n,jyA,jyuA,j-y-a,65,1.77,0.182,82.23
qlb,qlb,q-l-b,TbE,uTbuE,ṭ-b-ʿ,11,5.33,0.133,82.06
*nb,dhnb,dh-n-b,gfr,gfr,gh-f-r,19,3.99,0.159,81.93
smw,smw,s-m-w,Alh,uAlh,a-l-h,185,0.8,0.166,81.63
jyA,jyuA,j-y-a,rsl,rsl,r-s-l,62,1.78,0.179,78.92
bdA,bduA,b-d-a,Ewd,uEwd,ʿ-w-d,10,6.26,0.278,78.68
gfr,gfr,gh-f-r,Alh,uAlh,a-l-h,120,0.98,0.115,76.64
hzA,hzuA,h-z-a,Hyq,uHyq,ḥ-y-q,8,7.28,0.381,76.55
Alh,uAlh,a-l-h,wqy,wqy,w-q-y,135,0.92,0.128,76.32
Aty,uAty,a-t-y,zkw,zkw,z-k-w,29,2.73,0.107,76.22
kwn,kwn,k-w-n,Sdq,uSdq,ṣ-d-q,73,1.43,0.111,75.91
Ajr,uAjr,a-j-r,SlH,uSluH,ṣ-l-ḥ,25,3.21,0.186,75.51
qwy,qwy,q-w-y,$dd,shdd,sh-d-d,15,4.6,0.217,75.33
nkr,nkr,n-k-r,Erf,uErf,ʿ-r-f,13,5.14,0.263,75.2
