root,safeKey,rootLatin,degree,degreeRank,weightedDegree,weightedDegreeRank,betweenness,betweennessRank,eigenvector,eigenvectorRank
Alh,uAlh,a-l-h,479,1,6493.63,1,81754.53701,1,0.30812709,3
qwl,qwl,q-w-l,310,2,1836.29,5,26198.75793,2,0.04366553,31
kwn,kwn,k-w-n,281,3,1548.86,9,16324.89159,3,0.03798376,44
Amn,uAmn,a-m-n,213,4,2025.66,4,8971.88189,4,0.10609865,12
rbb,rbb,r-b-b,177,5,1085.39,23,8884.78834,5,0.02720833,68
Elm,uElm,ʿ-l-m,173,6,1568.19,8,5051.85509,6,0.13009475,7
qwm,qwm,q-w-m,159,7,1480.1,11,4769.65949,7,0.03164177,58
Aty,uAty,a-t-y,131,8,1320.33,17,2537.00501,11,0.03513375,46
$yA,shyuA,sh-y-a,114,9,1749.57,6,1846.31128,14,0.19912606,4
kfr,kfr,k-f-r,109,10,1119.49,21,2817.21127,9,0.04577256,27
byn,byn,b-y-n,108,11,1325.11,16,2702.39403,10,0.05080001,25
ArD,uAruD,a-r-ḍ,101,12,2265.45,2,3236.80525,8,0.53627127,2
kll,kll,k-l-l,86,13,1269.8,18,1130.20596,20,0.13983963,6
ywm,ywm,y-w-m,82,14,874.84,31,1075.51316,22,0.01308239,152
rsl,rsl,r-s-l,80,15,949.04,28,1095.5961,21,0.04098291,36
nfs,nfs,n-f-s,73,16,885.82,29,551.09183,50,0.03917654,42
smw,smw,s-m-w,69,18,2050.67,3,1341.20903,18,0.53727502,1
ktb,ktb,k-t-b,69,18,1168.08,19,1198.4392,19,0.04232033,33
Ayy,uAyy,a-y-y,69,18,860.58,32,1371.88446,16,0.01847987,116
nws,nws,n-w-s,66,20,747.87,40,564.91719,49,0.04481491,30
jEl,juEl,j-ʿ-l,63,21,596.21,57,1496.61359,15,0.02009657,109
qbl,qbl,q-b-l,61,22.5,816.3,36,377.50863,58,0.01547967,134
Eml,uEml,ʿ-m-l,61,22.5,1484.56,10,486.481,52,0.073096,16
bEd,buEd,b-ʿ-d,60,24,733.31,42,571.02523,48,0.0420966,34
E*b,uEdhb,ʿ-dh-b,59,25.5,1338,15,575.44394,47,0.02382391,83
Zlm,uZlm,ẓ-l-m,59,25.5,614.18,54,458.70626,53,0.0209871,99
rAy,ruAy,r-a-y,58,27,445.8,88,635.04241,35,0.02110655,97
Amr,uAmr,a-m-r,57,28,647.38,51,1041.32111,23,0.02219049,93
jyA,jyuA,j-y-a,54,29,745.79,41,276.54032,67,0.02038682,105
Axr,uAxr,a-kh-r,51,30,823.31,35,394.07108,57,0.03328,49
rHm,ruHm,r-ḥ-m,49,32,860.57,33,409.42171,56,0.03268864,53
nzl,nzl,n-z-l,49,32,880.92,30,351.30694,59,0.07011632,17
Hqq,uHqq,ḥ-q-q,49,32,647.52,50,289.7276,64,0.02398141,81
hdy,hdy,h-d-y,48,34.5,810.2,37,438.89488,54,0.03301087,52
Ax*,uAxdh,a-kh-dh,48,34.5,672.17,45,682.30022,31,0.02055925,102
xlq,xlq,kh-l-q,45,36,987.58,27,2185.59281,12,0.1490697,5
sbl,sbl,s-b-l,44,37,1010.61,26,235.72435,77,0.05061881,26
gfr,gfr,gh-f-r,43,38,1022.86,25,236.55808,76,0.04555411,29
gyr,gyr,gh-y-r,42,40,543.12,68,203.50901,84,0.03252086,54
wqy,wqy,w-q-y,42,40,462.48,83,223.98948,80,0.03111917,60
Hsn,uHsn,ḥ-s-n,42,40,604.35,55,812.78903,26,0.02500713,77
Ebd,uEbd,ʿ-b-d,41,43,428.59,93,172.94747,91,0.02990609,62
qtl,qtl,q-t-l,41,43,661.55,47,194.91294,85,0.03351838,48
End,uEnd,ʿ-n-d,41,43,513.11,73,314.64235,60,0.03303882,51
mlk,mlk,m-l-k,40,45.5,621.68,53,209.73349,83,0.08876915,14
xyr,xyr,kh-y-r,40,45.5,437.53,91,137.21417,102,0.02557258,74
xrj,xrj,kh-r-j,39,47,471.82,80,263.35954,70,0.02347857,86
Hyy,uHyy,ḥ-y-y,37,48,1118.23,22,219.96221,81,0.04555885,28
bny,bny,b-n-y,35,50.5,447.32,87,211.27302,82,0.01213097,160
nbA,nbuA,n-b-a,35,50.5,428.98,92,131.06496,104,0.02009188,110
dnw,dnw,d-n-w,35,50.5,1152.85,20,173.53733,90,0.03595356,45
wly,wly,w-l-y,35,50.5,588.75,59,118.9574,114,0.03855572,43
mvl,mvl,m-th-l,34,54,492.39,77,122.94725,110,0.02660209,72
jnn,jnn,j-n-n,34,54,1350.67,14,411.94576,55,0.09101318,13
*kr,dhkr,dh-k-r,34,54,382.31,104,173.54676,89,0.00765645,236
qlb,qlb,q-l-b,33,57.5,654.17,48,1962.2813,13,0.02910355,64
kvr,kvr,k-th-r,33,57.5,380.67,106,120.52786,113,0.02631028,73
Hkm,uHkm,ḥ-k-m,33,57.5,671.88,46,126.48822,106,0.06164783,20
swA,swuA,s-w-a,33,57.5,555.27,67,189.95288,86,0.0206318,100
Dll,uDll,ḍ-l-l,32,61.5,566.18,62,97.8343,135,0.02450033,79
SlH,uSluH,ṣ-l-ḥ,32,61.5,1056.19,24,228.98047,79,0.06722164,18
kbr,kbr,k-b-r,32,61.5,315.82,132,145.26385,99,0.00557371,277
dxl,dxl,d-kh-l,32,61.5,776.47,38,244.4301,75,0.05307193,24
nwr,nwr,n-w-r,31,64.5,595.58,58,277.17548,66,0.01886369,115
dEw,duEw,d-ʿ-w,31,64.5,486.65,79,165.07369,93,0.0202139,107
$hd,shhd,sh-h-d,29,68,427.28,94,117.88723,116,0.02375131,84
nhr,nhr,n-h-r,29,68,1604.96,7,147.47648,98,0.11339263,10
xlf,xlf,kh-l-f,29,68,566.87,61,1348.13122,17,0.03194657,55
fDl,fuDl,f-ḍ-l,29,68,502.59,75,107.20925,126,0.031765,56
ydy,ydy,y-d-y,29,68,531.83,70,688.41425,29,0.01888427,114
