surah,verse,marker,previousVerse,sharedRoots
2,30,idh,29,a-r-ḍ
2,50,idh,49,n-j-w; a-w-l
2,55,idh,54,a-kh-dh
2,58,idh,57,a-k-l
2,61,idh,60,a-r-ḍ; ḍ-r-b
2,76,idha,75,ʿ-q-l
2,84,idh,83,a-kh-dh; w-th-q
2,89,lamma,88,k-f-r; l-ʿ-n
2,91,idha,90,n-z-l; k-f-r
2,93,idh,92,a-kh-dh; ʿ-j-l
2,101,lamma,100,n-b-dh; f-r-q
2,125,idh,124,j-ʿ-l; n-w-s; ʿ-h-d
2,126,idh,125,j-ʿ-l
2,166,idh,165,r-a-y; ʿ-dh-b
2,200,idha,199,n-w-s
2,231,idha,230,ṭ-l-q
2,232,idha,231,ṭ-l-q; n-s-w; b-l-gh; a-j-l; ʿ-r-f; w-ʿ-ẓ
2,250,lamma,249,j-n-d; ṣ-b-r
2,260,idh,259,k-y-f; ḥ-y-y; m-w-t; j-ʿ-l; k-l-l
3,35,idh,34,s-m-ʿ
3,81,idh,80,a-kh-dh; n-b-a
3,153,idh,152,a-kh-r
3,165,lamma,164,n-f-s
3,187,idh,186,a-t-y; k-t-b
4,8,idha,7,q-r-b
4,61,idha,60,n-z-l; r-a-y
4,86,idha,85,ḥ-s-n; k-l-l; sh-y-a
4,101,idha,100,a-r-ḍ
4,102,idha,101,ṣ-l-w; k-f-r; j-n-ḥ
4,103,idha,102,ṣ-l-w; q-w-m
5,58,idha,57,a-kh-dh; h-z-a; l-ʿ-b
5,112,idh,111,ḥ-w-r
6,76,lamma,75,r-a-y
6,77,lamma,76,r-a-y; a-f-l
6,78,lamma,77,r-a-y; b-z-gh; a-f-l; q-w-m
6,124,idha,123,j-ʿ-l; j-r-m; m-k-r
7,28,idha,27,a-b-w
7,47,idha,46,ṣ-ḥ-b
7,134,lamma,133,r-s-l
7,135,lamma,134,k-sh-f; r-j-z
7,143,lamma,142,w-q-t
7,149,lamma,148,r-a-y
7,154,lamma,153,r-ḥ-m
7,161,idh,160,a-k-l
7,165,lamma,164,ʿ-dh-b
7,166,lamma,165,n-h-y
7,172,idh,171,a-kh-dh
7,190,lamma,189,a-t-y; ṣ-l-ḥ; j-ʿ-l
7,204,idha,203,r-ḥ-m
8,7,idh,6,ḥ-q-q
8,11,idh,10,q-l-b
8,12,idh,11,th-b-t; q-l-b
8,30,idh,29,k-f-r
8,43,idh,42,a-m-r
8,44,idh,43,r-a-y; q-l-l; a-m-r
8,48,idh,47,ʿ-m-l; n-w-s; r-a-y
9,5,idha,4,sh-r-k
9,76,lamma,75,a-t-y; f-ḍ-l
9,127,idha,126,r-a-y
10,21,idha,20,a-y-y
10,23,lamma,22,n-j-w
10,80,lamma,79,s-ḥ-r
10,81,lamma,80,l-q-y; j-y-a; s-ḥ-r
11,70,lamma,69,r-s-l
11,77,lamma,76,j-y-a
12,8,idh,7,a-kh-w
12,28,lamma,27,q-m-ṣ; q-d-d; d-b-r
12,31,lamma,30,r-a-y
12,59,lamma,58,a-kh-w
12,63,lamma,62,r-j-ʿ
12,65,lamma,64,ḥ-f-ẓ; a-kh-w
12,68,lamma,67,d-kh-l; gh-n-y; sh-y-a
12,69,lamma,68,d-kh-l
12,70,lamma,69,a-kh-w
12,80,lamma,79,a-kh-dh
12,94,lamma,93,a-b-w
14,6,idh,5,q-w-m; dh-k-r
14,7,idh,6,ʿ-dh-b
15,28,idh,27,kh-l-q
16,86,idha,85,r-a-y
17,60,idh,59,kh-w-f
17,67,idha,66,b-ḥ-r
18,10,idh,9,k-h-f
18,50,idh,49,ẓ-l-m
18,61,lamma,60,b-l-gh; j-m-ʿ; b-ḥ-r
19,49,lamma,48,ʿ-z-l; d-w-n
20,10,idh,9,a-t-y
20,11,lamma,10,a-t-y
20,40,idh,39,ʿ-y-n
22,26,idh,25,s-j-d
23,28,idha,27,f-l-k; ẓ-l-m
24,15,idh,14,ʿ-ẓ-m
24,48,idha,47,r-s-l; f-r-q
24,59,idha,58,b-l-gh; ḥ-l-m; a-dh-n; q-b-l; b-y-n; a-y-y; ḥ-k-m
25,41,idha,40,r-a-y
25,60,idha,59,r-ḥ-m
26,41,lamma,40,s-ḥ-r; gh-l-b
27,8,lamma,7,n-w-r
27,13,lamma,12,a-y-y
27,36,lamma,35,h-d-y
27,42,lamma,41,ʿ-r-sh
27,82,idha,81,a-y-y
28,29,lamma,28,q-ḍ-y; a-j-l
28,30,lamma,29,a-t-y
28,36,lamma,35,a-y-y
28,53,idha,52,q-b-l
29,33,lamma,32,n-j-w; a-h-l; m-r-a; gh-b-r
30,33,idha,32,f-r-q
31,7,idha,6,ʿ-dh-b
31,32,idha,31,a-y-y; k-l-l
33,7,idh,6,n-b-a
33,10,idh,9,j-y-a; b-ṣ-r
33,22,lamma,21,r-s-l
33,37,idh,36,q-ḍ-y; a-m-r
36,14,idh,13,r-s-l
36,45,idha,44,r-ḥ-m
38,22,idh,21,kh-ṣ-m
39,8,idha,7,k-f-r
40,47,idh,46,n-w-r
41,51,idha,50,m-s-s
43,30,lamma,29,j-y-a; ḥ-q-q
43,47,lamma,46,a-y-y
43,57,lamma,56,m-th-l
43,63,lamma,62,b-y-n
45,9,idha,8,a-y-y; ʿ-dh-b
46,7,idha,6,k-f-r
46,24,lamma,23,r-a-y
47,4,idha,3,k-f-r; ḍ-r-b
48,26,idh,25,k-f-r; sh-y-a
61,6,idh,5,r-s-l
62,10,idha,9,ṣ-l-w; dh-k-r
63,5,idha,4,r-a-y
65,2,idha,1,w-q-y; kh-r-j
70,21,idha,20,m-s-s
75,18,idha,17,q-r-a
76,20,idha,19,r-a-y
83,3,idha,2,k-y-l
