root,safeKey,rootLatin,totalCount,surahsOccurringIn,dp,dpNorm,juillandD,adjustedFrequency
Elm,uElm,ʿ-l-m,854,85,0.18027,0.180293,0.859708,700.05
Aty,uAty,a-t-y,549,72,0.180459,0.180482,0.900723,449.93
kll,kll,k-l-l,377,74,0.184807,0.184831,0.884634,307.33
kwn,kwn,k-w-n,1390,86,0.185146,0.18517,0.915675,1132.65
byn,byn,b-y-n,523,71,0.196677,0.196703,0.900282,420.14
qwl,qwl,q-w-l,1722,84,0.204817,0.204843,0.918731,1369.31
qbl,qbl,q-b-l,294,64,0.207372,0.207399,0.896551,233.03
$yA,shyuA,sh-y-a,519,73,0.211312,0.211339,0.893246,409.33
ArD,uAruD,a-r-ḍ,461,80,0.216327,0.216355,0.889372,361.27
qwm,qwm,q-w-m,660,79,0.229118,0.229148,0.89889,508.78
Zlm,uZlm,ẓ-l-m,315,59,0.230992,0.231022,0.885232,242.24
Axr,uAxr,a-kh-r,250,64,0.234438,0.234468,0.868923,191.39
Eml,uEml,ʿ-m-l,360,68,0.240113,0.240144,0.801149,273.56
E*b,uEdhb,ʿ-dh-b,373,68,0.247947,0.247979,0.884179,280.52
nfs,nfs,n-f-s,298,63,0.24866,0.248692,0.845024,223.9
Amn,uAmn,a-m-n,879,77,0.251388,0.25142,0.87772,658.03
rHm,ruHm,r-ḥ-m,339,62,0.253451,0.253484,0.698776,253.08
End,uEnd,ʿ-n-d,201,62,0.254224,0.254257,0.879444,149.9
Hqq,uHqq,ḥ-q-q,287,59,0.257799,0.257832,0.781283,213.01
nzl,nzl,n-z-l,293,60,0.260136,0.26017,0.782566,216.78
smw,smw,s-m-w,381,81,0.266639,0.266673,0.896826,279.41
ywm,ywm,y-w-m,405,75,0.267994,0.268028,0.87663,296.46
Alh,uAlh,a-l-h,2851,86,0.268334,0.268369,0.903934,2085.98
rbb,rbb,r-b-b,980,94,0.270487,0.270522,0.898191,714.92
smE,smuE,s-m-ʿ,185,57,0.271334,0.271369,0.858753,134.8
rsl,rsl,r-s-l,513,69,0.271607,0.271642,0.881767,373.67
rAy,ruAy,r-a-y,328,72,0.27178,0.271815,0.796931,238.86
bEd,buEd,b-ʿ-d,235,57,0.280181,0.280217,0.838805,169.16
Amr,uAmr,a-m-r,248,61,0.281136,0.281173,0.834186,178.28
kvr,kvr,k-th-r,167,51,0.282999,0.283036,0.628114,119.74
kfr,kfr,k-f-r,525,77,0.286876,0.286913,0.894398,374.39
mlk,mlk,m-l-k,206,63,0.289006,0.289043,0.795606,146.46
Ax*,uAxdh,a-kh-dh,273,55,0.29238,0.292417,0.857164,193.18
Hkm,uHkm,ḥ-k-m,210,57,0.294201,0.294239,0.754226,148.22
dnw,dnw,d-n-w,133,46,0.294588,0.294626,0.844037,93.82
SlH,uSluH,ṣ-l-ḥ,180,54,0.295046,0.295084,0.730137,126.89
jyA,jyuA,j-y-a,278,62,0.296037,0.296075,0.815975,195.7
hdy,hdy,h-d-y,316,62,0.297618,0.297656,0.857177,221.95
*kr,dhkr,dh-k-r,292,71,0.301486,0.301524,0.839318,203.97
Hsn,uHsn,ḥ-s-n,194,50,0.304647,0.304687,0.803081,134.9
Ayy,uAyy,a-y-y,382,59,0.306757,0.306796,0.870748,264.82
bSr,buSr,b-ṣ-r,148,62,0.3081,0.30814,0.857676,102.4
gfr,gfr,gh-f-r,234,56,0.308942,0.308982,0.796787,161.71
jEl,juEl,j-ʿ-l,346,66,0.310636,0.310676,0.808437,238.52
wly,wly,w-l-y,232,55,0.310752,0.310792,0.839161,159.91
nwr,nwr,n-w-r,194,62,0.311126,0.311166,0.821642,133.64
tbE,tbuE,t-b-ʿ,172,51,0.314123,0.314164,0.863344,117.97
xyr,xyr,kh-y-r,196,55,0.315919,0.315959,0.809931,134.08
Hyy,uHyy,ḥ-y-y,184,50,0.321436,0.321478,0.823838,124.86
Dll,uDll,ḍ-l-l,191,56,0.322026,0.322068,0.786566,129.49
ktb,ktb,k-t-b,319,61,0.322938,0.32298,0.831527,215.98
mvl,mvl,m-th-l,169,50,0.326935,0.326977,0.847376,113.75
xrj,xrj,kh-r-j,182,56,0.328831,0.328874,0.827172,122.15
kbr,kbr,k-b-r,161,57,0.330331,0.330373,0.850461,107.82
bny,bny,b-n-y,184,53,0.332022,0.332065,0.828531,122.91
xwf,xwf,kh-w-f,124,42,0.338048,0.338092,0.661838,82.08
b$r,bshr,b-sh-r,123,47,0.3396,0.339644,0.819266,81.23
wqy,wqy,w-q-y,258,63,0.343359,0.343403,0.849187,169.41
Awl,uAwl,a-w-l,170,54,0.344316,0.34436,0.833012,111.47
jnn,jnn,j-n-n,201,70,0.344374,0.344419,0.839662,131.78
Sdq,uSdq,ṣ-d-q,155,49,0.350494,0.350539,0.858304,100.67
bgy,bgy,b-gh-y,96,41,0.351432,0.351478,0.811855,62.26
slm,slm,s-l-m,140,48,0.351799,0.351844,0.7723,90.75
ydy,ydy,y-d-y,120,47,0.354868,0.354914,0.729561,77.42
$hd,shhd,sh-h-d,160,48,0.360582,0.360628,0.766349,102.31
mwt,mwt,m-w-t,165,53,0.36127,0.361317,0.844904,105.39
$dd,shdd,sh-d-d,102,48,0.362278,0.362324,0.798238,65.05
dwn,dwn,d-w-n,144,46,0.362591,0.362638,0.858087,91.79
xlq,xlq,kh-l-q,261,75,0.363619,0.363666,0.866005,166.1
xlf,xlf,kh-l-f,127,40,0.365601,0.365648,0.843669,80.57
dEw,duEw,d-ʿ-w,212,55,0.366485,0.366533,0.833985,134.31
swA,swuA,s-w-a,167,45,0.366768,0.366815,0.85042,105.75
gyr,gyr,gh-y-r,154,46,0.367335,0.367382,0.756433,97.43
Amm,uAmm,a-m-m,118,42,0.368164,0.368211,0.758586,74.56
fEl,fuEl,f-ʿ-l,108,44,0.371105,0.371153,0.729086,67.92
sbl,sbl,s-b-l,176,47,0.371165,0.371213,0.843175,110.67
nws,nws,n-w-s,241,53,0.372299,0.372347,0.52309,151.28
klm,klm,k-l-m,75,32,0.372402,0.37245,0.809104,47.07
Ebd,uEbd,ʿ-b-d,275,57,0.372443,0.372491,0.544827,172.58
nEm,nuEm,n-ʿ-m,140,61,0.374289,0.374337,0.79963,87.6
nbA,nbuA,n-b-a,160,47,0.37459,0.374639,0.775113,100.07
jzy,jzy,j-z-y,118,47,0.379008,0.379057,0.819914,73.28
nSr,nuSr,n-ṣ-r,158,46,0.379124,0.379173,0.730125,98.1
jmE,jmuE,j-m-ʿ,129,45,0.379237,0.379286,0.773695,80.08
rwd,rwd,r-w-d,148,47,0.381876,0.381925,0.831975,91.48
nhr,nhr,n-h-r,113,51,0.383438,0.383487,0.806309,69.67
lqy,lqy,l-q-y,146,53,0.384429,0.384478,0.831104,89.87
wEd,wuEd,w-ʿ-d,151,51,0.384877,0.384927,0.848598,92.88
$Tn,shuTn,sh-ṭ-n,88,36,0.386443,0.386493,0.795013,53.99
Drr,uDrr,ḍ-r-r,74,31,0.386891,0.386941,0.816578,45.37
qrb,qrb,q-r-b,96,41,0.386959,0.387009,0.799229,58.85
mtE,mtuE,m-t-ʿ,70,38,0.387805,0.387855,0.815331,42.85
rzq,rzq,r-z-q,123,44,0.39219,0.392241,0.829779,74.76
$rk,shrk,sh-r-k,168,44,0.393384,0.393435,0.805074,101.91
xld,xld,kh-l-d,87,40,0.395267,0.395318,0.709488,52.61
rjE,rjuE,r-j-ʿ,104,42,0.395805,0.395856,0.746299,62.84
EZm,uEuZm,ʿ-ẓ-m,128,50,0.396928,0.396979,0.844481,77.19
wjh,wjh,w-j-h,78,38,0.403439,0.403491,0.739181,46.53
rdd,rdd,r-d-d,59,30,0.404425,0.404477,0.588019,35.14
bED,buEuD,b-ʿ-ḍ,158,38,0.404816,0.404869,0.812693,94.04
qlb,qlb,q-l-b,168,48,0.406319,0.406372,0.832397,99.74
sAl,suAl,s-a-l,129,47,0.406753,0.406806,0.772526,76.53
Ezz,uEzz,ʿ-z-z,119,47,0.407226,0.407278,0.838813,70.54
bAs,buAs,b-a-s,73,33,0.409291,0.409343,0.815565,43.12
Akl,uAkl,a-k-l,109,40,0.409937,0.40999,0.687404,64.32
swy,swy,s-w-y,83,48,0.410228,0.410281,0.737069,48.95
dxl,dxl,d-kh-l,126,45,0.411334,0.411387,0.708413,74.17
Alm,uAlm,a-l-m,75,42,0.41153,0.411583,0.825056,44.14
nZr,nuZr,n-ẓ-r,129,48,0.411646,0.411699,0.819912,75.9
rjl,rjl,r-j-l,73,32,0.412007,0.41206,0.799552,42.92
qdr,qdr,q-d-r,132,58,0.413657,0.413711,0.697112,77.4
Sbr,uSbr,ṣ-b-r,103,45,0.418915,0.418969,0.62776,59.85
ErD,uEruD,ʿ-r-ḍ,79,35,0.419898,0.419952,0.815791,45.83
A*n,uAdhn,a-dh-n,102,38,0.420971,0.421026,0.708514,59.06
skn,skn,s-k-n,69,40,0.421039,0.421093,0.670384,39.95
frq,frq,f-r-q,72,30,0.424001,0.424056,0.738916,41.47
qll,qll,q-l-l,76,33,0.427455,0.42751,0.766406,43.51
$kr,shkr,sh-k-r,75,35,0.433595,0.433651,0.776486,42.48
wfy,wfy,w-f-y,66,27,0.433879,0.433935,0.787395,37.36
jry,jry,j-r-y,64,43,0.43645,0.436506,0.805141,36.07
blg,blg,b-l-gh,77,36,0.437322,0.437379,0.804701,43.33
k*b,kdhb,k-dh-b,282,68,0.437603,0.43766,0.794365,158.6
Ahl,uAhl,a-h-l,127,40,0.438903,0.43896,0.780395,71.26
Eql,uEql,ʿ-q-l,49,30,0.443791,0.443848,0.809931,27.25
xsr,xsr,kh-s-r,65,35,0.444007,0.444064,0.476023,36.14
n*r,ndhr,n-dh-r,130,50,0.445067,0.445124,0.786451,72.14
kyf,kyf,k-y-f,83,37,0.445386,0.445444,0.649622,46.03
lys,lys,l-y-s,89,33,0.449962,0.45002,0.697104,48.95
SHb,uSuHb,ṣ-ḥ-b,97,47,0.450285,0.450343,0.732823,53.32
wHd,wuHd,w-ḥ-d,68,35,0.451107,0.451165,0.788498,37.32
lyl,lyl,l-y-l,92,49,0.453698,0.453756,0.654884,50.26
dyn,dyn,d-y-n,101,40,0.4543,0.454359,0.69666,55.12
TwE,uTwuE,ṭ-w-ʿ,129,40,0.455139,0.455197,0.803632,70.29
Hzn,uHzn,ḥ-z-n,42,25,0.462171,0.462231,0.806531,22.59
Ajr,uAjr,a-j-r,108,39,0.463072,0.463132,0.753749,57.99
Edw,uEdw,ʿ-d-w,106,34,0.464011,0.464071,0.743076,56.81
zwj,zwj,z-w-j,81,43,0.465574,0.465634,0.81447,43.29
bEv,buEv,b-ʿ-th,67,33,0.466592,0.466652,0.737665,35.74
gny,gny,gh-n-y,73,44,0.467077,0.467137,0.724189,38.9
Hbb,uHbb,ḥ-b-b,95,35,0.469906,0.469967,0.747691,50.36
mss,mss,m-s-s,61,29,0.470199,0.47026,0.774786,32.32
hlk,hlk,h-l-k,68,40,0.473958,0.474019,0.78045,35.77
fDl,fuDl,f-ḍ-l,104,32,0.474052,0.474113,0.755548,54.7
ftn,ftn,f-t-n,60,32,0.474224,0.474286,0.791686,31.55
zyd,zyd,z-y-d,61,32,0.474629,0.474691,0.723354,32.05
Swb,uSwb,ṣ-w-b,77,27,0.476822,0.476884,0.774323,40.28
Hsb,uHsb,ḥ-s-b,109,40,0.478011,0.478073,0.76676,56.9
Abw,uAbw,a-b-w,117,37,0.479957,0.480019,0.666905,60.85
Slw,uSlw,ṣ-l-w,99,37,0.480473,0.480535,0.584518,51.43
dwr,dwr,d-w-r,55,27,0.48114,0.481202,0.749892,28.54
wHy,wuHy,w-ḥ-y,78,33,0.481342,0.481404,0.66818,40.46
AHd,uAuHd,a-ḥ-d,85,33,0.481343,0.481405,0.482292,44.09
byt,byt,b-y-t,73,29,0.483802,0.483864,0.502793,37.68
bTl,buTl,b-ṭ-l,36,24,0.48433,0.484393,0.773739,18.56
nhy,nhy,n-h-y,56,26,0.486592,0.486655,0.624556,28.75
sbH,sbuH,s-b-ḥ,92,49,0.49032,0.490383,0.711891,46.89
tlw,tlw,t-l-w,63,33,0.490575,0.490638,0.726901,32.09
qdm,qdm,q-d-m,48,37,0.49172,0.491783,0.784218,24.4
nfE,nfuE,n-f-ʿ,50,31,0.492401,0.492464,0.734735,25.38
Tyb,uTyb,ṭ-y-b,50,23,0.494371,0.494435,0.765963,25.28
rwH,rwuH,r-w-ḥ,57,40,0.495496,0.49556,0.67696,28.76
wld,wld,w-l-d,102,39,0.49677,0.496834,0.489268,51.33
Ajl,uAjl,a-j-l,56,29,0.497351,0.497415,0.73797,28.15
Elw,uElw,ʿ-l-w,70,41,0.498228,0.498293,0.782759,35.12
mwh,mwh,m-w-h,63,41,0.49893,0.498994,0.784149,31.57
Ewd,uEwd,ʿ-w-d,63,39,0.499318,0.499383,0.807272,31.54
Eqb,uEqb,ʿ-q-b,80,32,0.503487,0.503552,0.697231,39.72
wkl,wkl,w-k-l,70,29,0.503932,0.503997,0.806793,34.72
gyb,gyb,gh-y-b,60,35,0.50562,0.505685,0.783002,29.66
Axw,uAxw,a-kh-w,96,31,0.507486,0.507552,0.772273,47.28
fwq,fwq,f-w-q,43,27,0.508521,0.508587,0.780448,21.13
tHt,tuHt,t-ḥ-t,51,30,0.509221,0.509287,0.752232,25.03
ksb,ksb,k-s-b,67,27,0.509858,0.509924,0.542905,32.84
Drb,uDrb,ḍ-r-b,58,28,0.509965,0.510031,0.774233,28.42
blw,blw,b-l-w,38,25,0.511253,0.511319,0.645853,18.57
*hb,dhhb,dh-h-b,56,30,0.51176,0.511826,0.761482,27.34
wjd,wjd,w-j-d,107,32,0.515574,0.515641,0.534697,51.83
qtl,qtl,q-t-l,170,33,0.515842,0.515908,0.819359,82.31
Sdr,uSdr,ṣ-d-r,46,31,0.516974,0.517041,0.600503,22.22
jrm,jrm,j-r-m,66,36,0.518346,0.518413,0.803473,31.79
Hmd,uHmd,ḥ-m-d,63,40,0.519102,0.519169,0.616975,30.3
sjd,sjd,s-j-d,92,32,0.51974,0.519807,0.781349,44.18
Hrm,uHrm,ḥ-r-m,83,25,0.522029,0.522097,0.777775,39.67
