surah,verseCount,meanDensityRoot,pValueRoot,survivorRoot,meanDensitySurface,pValueSurface,survivorSurface
1,7,0.4286,0.031997,false,0.2857,0.744826,false
2,286,0.3321,0.0001,true,0.4993,0.0001,true
3,200,0.3399,0.0001,true,0.4908,0.0001,true
4,176,0.3172,0.0001,true,0.3996,0.129887,false
5,120,0.3094,0.0011,true,0.4643,0.0016,true
6,165,0.3033,0.0011,true,0.4659,0.0002,true
7,206,0.3404,0.0001,true,0.4821,0.0001,true
8,75,0.279,0.081892,false,0.4449,0.029097,false
9,129,0.2889,0.011899,false,0.3852,0.314369,false
10,109,0.3312,0.0001,true,0.5319,0.0001,true
11,123,0.2664,0.111889,false,0.4709,0.0005,true
12,111,0.176,0.994501,false,0.2898,0.994401,false
13,43,0.3432,0.005099,true,0.5124,0.0039,true
14,52,0.302,0.037296,false,0.4069,0.220378,false
15,99,0.2123,0.844116,false,0.4066,0.152785,false
16,128,0.3076,0.0013,true,0.5066,0.0001,true
17,111,0.2037,0.924508,false,0.3155,0.957604,false
18,110,0.1831,0.990101,false,0.2577,1,false
19,98,0.2059,0.89901,false,0.2691,0.999,false
20,135,0.1613,0.9997,false,0.1972,1,false
21,112,0.2021,0.931007,false,0.2891,0.994701,false
22,78,0.3317,0.0003,true,0.4924,0.001,true
23,118,0.2471,0.346465,false,0.4091,0.117488,false
24,64,0.3055,0.020598,false,0.4212,0.121488,false
25,77,0.2005,0.906509,false,0.2556,0.9988,false
26,227,0.2543,0.165083,false,0.4191,0.017198,false
27,93,0.3189,0.0013,true,0.4411,0.023998,false
28,88,0.2653,0.160484,false,0.4191,0.091491,false
29,69,0.3444,0.0002,true,0.5299,0.0001,true
30,60,0.3381,0.0012,true,0.5726,0.0001,true
31,34,0.3972,0.0005,true,0.5743,0.0004,true
32,30,0.2851,0.157284,false,0.4787,0.041296,false
33,73,0.304,0.014699,false,0.3492,0.706729,false
34,54,0.2598,0.262174,false,0.438,0.072493,false
35,45,0.3614,0.0012,true,0.5009,0.005599,true
36,83,0.1487,0.9994,false,0.3191,0.916808,false
37,182,0.1366,1,false,0.2892,0.9999,false
38,88,0.2089,0.859214,false,0.3468,0.742326,false
39,75,0.3594,0.0001,true,0.5166,0.0003,true
40,85,0.3276,0.0015,true,0.46,0.007299,true
41,54,0.2495,0.365563,false,0.3717,0.49725,false
42,53,0.2525,0.333067,false,0.4637,0.025997,false
43,89,0.2015,0.910909,false,0.3404,0.805719,false
44,59,0.1271,0.9998,false,0.3031,0.941506,false
45,37,0.4285,0.0001,true,0.5464,0.0011,true
46,35,0.3345,0.014999,false,0.5267,0.0032,true
47,38,0.2503,0.373963,false,0.3514,0.627537,false
48,29,0.4668,0.0001,true,0.4403,0.139886,false
49,18,0.3008,0.144786,false,0.4219,0.250175,false
50,45,0.1924,0.887111,false,0.3275,0.807519,false
51,60,0.1652,0.990501,false,0.2519,0.9977,false
52,49,0.1492,0.9953,false,0.294,0.947305,false
53,62,0.0772,1,false,0.1219,1,false
54,55,0.1795,0.959404,false,0.2953,0.952005,false
55,78,0.3673,0.0001,true,0.4584,0.013299,false
56,96,0.0819,1,false,0.1853,1,false
57,29,0.4003,0.001,true,0.5761,0.0006,true
58,22,0.3697,0.008999,true,0.5854,0.0015,true
59,24,0.2902,0.156584,false,0.5186,0.017098,false
60,13,0.3322,0.09669,false,0.374,0.486851,false
61,14,0.4267,0.0047,true,0.6691,0.0004,true
62,11,0.4233,0.012499,false,0.5801,0.023498,false
63,11,0.2975,0.226177,false,0.4416,0.244376,false
64,18,0.5563,0.0001,true,0.7055,0.0001,true
65,12,0.3347,0.094891,false,0.3565,0.556744,false
66,12,0.265,0.344866,false,0.3307,0.647535,false
67,30,0.2014,0.779822,false,0.4618,0.074393,false
68,52,0.163,0.985901,false,0.2833,0.972603,false
69,52,0.0886,1,false,0.2135,0.9998,false
70,44,0.1167,0.9996,false,0.2738,0.973603,false
71,28,0.2224,0.616438,false,0.2699,0.951605,false
72,28,0.0936,0.9999,false,0.1813,0.9991,false
73,20,0.1124,0.990501,false,0.1655,0.9974,false
