stream,n,display,arabic,count,firstSurah,firstVerse
surface,3,يأيها الذين ءامنوا,يأيها الذين ءامنوا,89,2,104
surface,3,من دون الله,من دون الله,71,2,23
root,3,a-m-n · ʿ-m-l · ṣ-l-ḥ,ا م ن ع م ل ص ل ح,61,2,25
surface,3,على كل شىء,على كل شىء,52,2,20
surface,3,ءامنوا وعملوا الصلحت,ءامنوا وعملوا الصلحت,50,2,25
surface,3,إن فى ذلك,إن فى ذلك,50,2,248
root,3,a-l-h · gh-f-r · r-ḥ-m,ا ل ه غ ف ر ر ح م,47,2,173
root,3,a-l-h · k-l-l · sh-y-a,ا ل ه ك ل ل ش ي ا,47,2,20
surface,3,فى سبيل الله,فى سبيل الله,44,2,154
surface,3,ما فى السموت,ما فى السموت,39,2,116
root,3,j-r-y · t-ḥ-t · n-h-r,ج ر ي ت ح ت ن ه ر,38,2,25
root,3,k-l-l · sh-y-a · q-d-r,ك ل ل ش ي ا ق د ر,38,2,20
surface,3,لا إله إلا,لا إله إلا,37,2,163
root,3,kh-l-q · s-m-w · a-r-ḍ,خ ل ق س م و ا ر ض,36,2,164
surface,3,الذين ءامنوا وعملوا,الذين ءامنوا وعملوا,36,2,25
surface,4,الذين ءامنوا وعملوا الصلحت,الذين ءامنوا وعملوا الصلحت,36,2,25
surface,3,تجرى من تحتها,تجرى من تحتها,34,2,25
surface,3,من تحتها الأنهر,من تحتها الأنهر,34,2,25
surface,4,تجرى من تحتها الأنهر,تجرى من تحتها الأنهر,34,2,25
surface,3,الله إن الله,الله إن الله,33,2,110
surface,3,كل شىء قدير,كل شىء قدير,33,2,20
surface,4,على كل شىء قدير,على كل شىء قدير,33,2,20
root,3,a-l-w · r-b-b · k-dh-b,ا ل و ر ب ب ك ذ ب,31,55,13
root,3,j-n-n · j-r-y · t-ḥ-t,ج ن ن ج ر ي ت ح ت,31,2,25
root,4,j-n-n · j-r-y · t-ḥ-t · n-h-r,ج ن ن ج ر ي ت ح ت ن ه ر,31,2,25
surface,3,ءالاء ربكما تكذبان,ءالاء ربكما تكذبان,31,55,13
surface,3,فبأى ءالاء ربكما,فبأى ءالاء ربكما,31,55,13
surface,4,فبأى ءالاء ربكما تكذبان,فبأى ءالاء ربكما تكذبان,31,55,13
surface,3,إله إلا هو,إله إلا هو,30,2,163
surface,3,فى السموت والأرض,فى السموت والأرض,30,2,116
surface,4,لا إله إلا هو,لا إله إلا هو,30,2,163
surface,3,إن الله لا,إن الله لا,29,2,26
surface,3,من بعد ما,من بعد ما,29,2,75
surface,3,إن كنتم صدقين,إن كنتم صدقين,28,2,23
surface,3,السموت وما فى,السموت وما فى,28,2,255
surface,3,خلق السموت والأرض,خلق السموت والأرض,28,2,164
surface,3,فى السموت وما,فى السموت وما,28,2,255
surface,3,وما فى الأرض,وما فى الأرض,28,2,255
surface,4,السموت وما فى الأرض,السموت وما فى الأرض,28,2,255
surface,4,فى السموت وما فى,فى السموت وما فى,28,2,255
surface,4,ما فى السموت وما,ما فى السموت وما,28,2,255
surface,5,فى السموت وما فى الأرض,فى السموت وما فى الأرض,28,2,255
surface,5,ما فى السموت وما فى,ما فى السموت وما فى,28,2,255
surface,3,الذين ءامنوا لا,الذين ءامنوا لا,27,2,104
surface,4,يأيها الذين ءامنوا لا,يأيها الذين ءامنوا لا,27,2,104
root,3,a-l-h · ʿ-z-z · ḥ-k-m,ا ل ه ع ز ز ح ك م,26,2,209
root,3,a-l-h · s-m-w · a-r-ḍ,ا ل ه س م و ا ر ض,26,2,284
surface,3,جنت تجرى من,جنت تجرى من,26,2,25
surface,4,جنت تجرى من تحتها,جنت تجرى من تحتها,26,2,25
surface,5,جنت تجرى من تحتها الأنهر,جنت تجرى من تحتها الأنهر,26,2,25
root,3,k-l-l · sh-y-a · ʿ-l-m,ك ل ل ش ي ا ع ل م,25,2,29
root,3,a-l-h · y-w-m · a-kh-r,ا ل ه ي و م ا خ ر,24,2,8
root,3,q-w-m · ṣ-l-w · a-t-y,ق و م ص ل و ا ت ي,24,2,43
root,3,ṣ-l-w · a-t-y · z-k-w,ص ل و ا ت ي ز ك و,24,2,43
root,4,a-l-h · k-l-l · sh-y-a · q-d-r,ا ل ه ك ل ل ش ي ا ق د ر,24,2,20
root,4,q-w-m · ṣ-l-w · a-t-y · z-k-w,ق و م ص ل و ا ت ي ز ك و,24,2,43
surface,3,الذين من قبلهم,الذين من قبلهم,24,2,118
surface,3,عن سبيل الله,عن سبيل الله,24,2,217
surface,3,فى ذلك لءايت,فى ذلك لءايت,24,10,67
surface,4,إن فى ذلك لءايت,إن فى ذلك لءايت,24,10,67
root,3,k-y-f · k-w-n · ʿ-q-b,ك ي ف ك و ن ع ق ب,23,3,137
surface,3,السموت والأرض وما,السموت والأرض وما,23,2,107
root,3,a-m-n · a-l-h · y-w-m,ا م ن ا ل ه ي و م,22,2,8
