lemma,pos,root,rootSafeKey,count,topForm,formCount,verseCount,surahCount,firstVerse
min,P,,,3226,مِن,80,2230,95,2:3
{ll~ah,PN,Alh,uAlh,2699,ٱللَّهِ,15,1821,85,1:1
maA,REL/NEG/INTG/SUB/COND/SUP,,,2177,مَا,29,1614,101,2:4
fiY,P,,,1701,فِى,27,1364,97,2:2
laA,NEG/PRO,,,1691,لَا,13,1259,93,1:7
<in~,ACC,,,1682,إِنَّ,60,1503,97,2:6
qaAla,V,qwl,qwl,1618,قَالَ,109,1321,82,2:8
{l~a*iY,REL/COND,,,1464,ٱلَّذِينَ,33,1243,88,1:7
EalaY`,P,,,1445,عَلَىٰ,39,1177,93,1:7
kaAna,V,kwn,kwn,1358,كَانَ,109,1149,86,2:10
rab~,N,rbb,rbb,975,رَبِّ,110,866,94,1:2
man,REL/COND/INTG,,,824,مَن,39,676,85,2:8
<ilaY`,P,,,742,إِلَىٰ,28,653,82,2:4
<in,COND/NEG/CERT,,,697,إِن,27,588,74,2:23
<il~aA,RES/EXP/CERT,,,663,إِلَّا,3,605,79,2:9
>an,SUB/INT,,,625,أَن,15,541,78,2:26
'aAmana,V,Amn,uAmn,537,ءَامَنُوا۟,56,478,73,2:3
*a`lik,DEM,,,520,ذَٰلِكَ,26,494,78,2:2
Ean,P,,,465,عَن,25,422,78,2:36
>aroD,N,ArD,uAruD,461,ٱلْأَرْضِ,20,440,80,2:11
<i*aA,T/SUR/COND,,,409,إِذَا,8,373,79,2:11
qad,CERT,,,406,وَلَقَدْ,15,388,65,2:60
yawom,N/T,ywm,ywm,405,يَوْمَ,32,377,75,1:4
qawom,N,qwm,qwm,383,يَٰقَوْمِ,52,347,55,2:54
'aAyap,N,Ayy,uAyy,382,بِـَٔايَٰتِنَا,45,353,59,2:39
Ealima,V,Elm,uElm,382,يَعْلَمُونَ,80,340,73,2:13
>an~,ACC,,,362,أَنَّ,39,319,67,2:25
kul~,N/T,kll,kll,359,كُلِّ,28,341,73,2:20
