surah,verseCount,familyCount,dominantKey,dominantShare,shiftCount,topRefrainPausal,topRefrainCount,meanRunLength
1,7,2,ين,0.571,5,,,1.17
2,286,16,ون,0.451,171,عليم,16,1.66
3,200,20,ين,0.31,138,الحكيم,5,1.44
4,176,21,ما,0.29,137,عظيما,14,1.28
5,120,11,ون,0.35,70,رحيم,5,1.69
6,165,6,ون,0.545,84,يؤمنون,6,1.94
7,206,5,ون,0.481,97,العلمين,7,2.1
8,75,12,ون,0.32,47,حكيم,5,1.56
9,129,6,ون,0.419,69,حكيم,8,1.84
10,109,4,ون,0.541,52,الظلمين,3,2.06
11,123,18,ون,0.228,80,مبين,4,1.52
12,111,7,ين,0.423,70,المحسنين,5,1.56
13,43,13,اب,0.256,33,الدار,4,1.26
14,52,20,يد,0.192,37,,,1.37
15,99,5,ين,0.495,62,أجمعين,4,1.57
16,128,4,ون,0.664,63,رحيم,6,2
17,111,12,را,0.45,66,سبيلا,6,1.66
18,110,15,دا,0.264,73,أحدا,8,1.49
19,98,7,يا,0.673,12,نبيا,7,7.54
20,135,23,را,0.207,119,يموسى,8,1.13
21,112,4,ون,0.545,41,فعلين,4,2.67
22,78,14,ير,0.218,64,,,1.2
23,118,3,ون,0.686,47,الأولين,3,2.46
24,64,8,يم,0.359,40,عليم,6,1.56
25,77,6,را,0.558,29,سبيلا,6,2.57
26,227,6,ين,0.511,136,العلمين,12,1.66
27,93,3,ون,0.538,45,مبين,4,2.02
28,88,6,ين,0.477,54,الظلمين,4,1.6
29,69,5,ون,0.493,37,العلمين,3,1.82
30,60,6,ون,0.75,27,يشركون,3,2.14
31,34,8,ير,0.265,21,خبير,3,1.55
32,30,5,ون,0.733,11,,,2.5
33,73,12,را,0.288,57,رحيما,6,1.26
34,54,10,ون,0.204,37,مبين,3,1.42
35,45,10,ير,0.356,25,,,1.73
36,83,4,ون,0.663,34,مبين,6,2.37
37,182,14,ين,0.456,112,الءاخرين,6,1.61
38,88,18,اب,0.352,55,أواب,4,1.57
39,75,12,ون,0.44,42,الألبب,3,1.74
40,85,20,ون,0.282,60,النار,4,1.39
41,54,14,ون,0.389,29,,,1.8
42,53,13,ير,0.245,39,سبيل,3,1.33
43,89,5,ون,0.584,51,مبين,5,1.71
44,59,5,ين,0.424,32,مبين,4,1.79
45,37,4,ون,0.541,19,,,1.85
46,35,5,ون,0.371,25,مبين,3,1.35
47,38,3,هم,0.684,15,لهم,8,2.38
48,29,7,ما,0.448,21,أليما,3,1.32
49,18,4,ون,0.389,16,رحيم,3,1.06
50,45,10,يد,0.533,26,بعيد,3,1.67
51,60,11,ون,0.4,36,مبين,3,1.62
52,49,10,ون,0.469,28,,,1.69
53,62,21,را,0.161,52,يرى,3,1.17
54,55,17,ذر,0.2,51,مدكر,6,1.06
55,78,9,ان,0.808,24,تكذبان,31,3.12
56,96,20,ون,0.344,60,اليمين,4,1.57
57,29,8,يم,0.345,22,العظيم,3,1.26
58,22,7,ون,0.409,16,,,1.29
59,24,7,ون,0.458,15,,,1.5
60,13,7,يم,0.308,11,,,1.08
61,14,4,ون,0.357,8,,,1.56
62,11,3,ين,0.455,5,,,1.83
63,11,2,ون,0.818,4,,,2.2
64,18,6,يم,0.389,12,,,1.38
65,12,4,را,0.75,4,,,2.4
66,12,5,ير,0.333,5,,,2
67,30,5,ير,0.433,15,السعير,3,1.88
68,52,4,ون,0.481,31,,,1.63
69,52,10,يه,0.404,19,الحاقه,3,2.6
70,44,18,ون,0.318,26,,,1.63
71,28,9,را,0.607,12,,,2.15
72,28,4,دا,0.679,13,أحدا,5,2
73,20,5,لا,0.75,6,قليلا,3,2.86
74,56,21,ين,0.161,33,سقر,3,1.65
75,40,20,ره,0.175,23,,,1.67
76,31,3,را,0.645,8,,,3.44
77,50,18,ين,0.34,33,للمكذبين,10,1.47
78,40,11,با,0.425,22,,,1.74
79,46,20,ها,0.239,29,,,1.53
80,42,17,ره,0.381,24,,,1.68
81,29,11,رت,0.276,21,,,1.32
82,19,7,ين,0.368,8,الدين,3,2.11
83,36,4,ون,0.472,25,,,1.38
84,25,13,را,0.24,16,,,1.47
85,22,8,ود,0.409,12,,,1.69
86,17,14,دا,0.176,13,,,1.21
87,19,11,را,0.158,17,,,1.06
88,26,17,يه,0.269,19,,,1.3
89,30,20,اد,0.2,25,,,1.15
90,20,9,به,0.3,10,,,1.82
91,15,1,ها,1,0,,,15
92,21,12,لا,0.19,18,,,1.11
93,11,9,لا,0.182,8,,,1.22
94,8,4,رك,0.5,3,,,2
95,8,3,ين,0.625,5,,,1.33
96,19,14,يه,0.158,15,,,1.19
97,5,4,در,0.4,3,,,1.25
98,8,5,مه,0.25,6,,,1.14
99,8,3,ها,0.625,2,,,2.67
100,11,6,حا,0.273,5,,,1.83
101,11,5,يه,0.364,6,القارعه,3,1.57
102,8,5,ون,0.25,6,,,1.14
103,3,3,بر,0.333,2,,,1
104,9,3,ده,0.667,3,,,2.25
105,5,2,يل,0.8,1,,,2.5
106,4,4,وف,0.25,3,,,1
107,7,3,ون,0.429,3,,,1.75
108,3,3,تر,0.333,2,,,1
109,6,4,بد,0.333,4,,,1.2
110,3,3,با,0.333,2,,,1
111,5,5,تب,0.2,4,,,1
112,4,3,حد,0.5,3,,,1
113,5,4,لق,0.4,3,,,1.25
114,6,1,اس,1,0,الناس,4,6
