root,safeKey,arabic,rootLatin,totalCount,normalizedFrequencyOverall,count_meccan-early,normalizedFrequency_meccan-early,count_meccan-middle,normalizedFrequency_meccan-middle,count_meccan-late,normalizedFrequency_meccan-late,count_medinan,normalizedFrequency_medinan
Alh,uAlh,ا ل ه,a-l-h,2851,36.821,32,11.834,248,17.51,812,26.56,1759,58.653
qwl,qwl,ق و ل,q-w-l,1722,22.24,27,9.985,438,30.926,783,25.612,474,15.805
kwn,kwn,ك و ن,k-w-n,1390,17.952,27,9.985,307,21.676,586,19.168,470,15.672
rbb,rbb,ر ب ب,r-b-b,980,12.657,57,21.08,231,16.31,474,15.504,218,7.269
Amn,uAmn,ا م ن,a-m-n,879,11.352,15,5.547,106,7.484,258,8.439,500,16.672
Elm,uElm,ع ل م,ʿ-l-m,854,11.029,32,11.834,130,9.179,333,10.892,359,11.971
qwm,qwm,ق و م,q-w-m,660,8.524,12,4.438,142,10.026,300,9.813,206,6.869
Aty,uAty,ا ت ي,a-t-y,549,7.09,8,2.959,112,7.908,219,7.163,210,7.002
kfr,kfr,ك ف ر,k-f-r,525,6.78,9,3.328,54,3.813,170,5.561,292,9.737
byn,byn,ب ي ن,b-y-n,523,6.755,2,0.74,87,6.143,215,7.033,219,7.302
$yA,shyuA,ش ي ا,sh-y-a,519,6.703,17,6.287,76,5.366,219,7.163,207,6.902
rsl,rsl,ر س ل,r-s-l,513,6.625,10,3.698,102,7.202,164,5.364,237,7.903
ArD,uAruD,ا ر ض,a-r-ḍ,461,5.954,9,3.328,86,6.072,231,7.556,135,4.502
ywm,ywm,ي و م,y-w-m,405,5.231,18,6.657,88,6.213,187,6.117,112,3.735
Ayy,uAyy,ا ي ي,a-y-y,382,4.934,3,1.109,90,6.355,196,6.411,93,3.101
smw,smw,س م و,s-m-w,381,4.921,17,6.287,62,4.378,189,6.182,113,3.768
kll,kll,ك ل ل,k-l-l,377,4.869,7,2.589,74,5.225,161,5.266,135,4.502
E*b,uEdhb,ع ذ ب,ʿ-dh-b,373,4.817,8,2.959,57,4.025,167,5.463,141,4.702
Eml,uEml,ع م ل,ʿ-m-l,360,4.649,5,1.849,51,3.601,164,5.364,140,4.668
jEl,juEl,ج ع ل,j-ʿ-l,346,4.469,13,4.808,83,5.86,172,5.626,78,2.601
rHm,ruHm,ر ح م,r-ḥ-m,339,4.378,5,1.849,85,6.002,136,4.449,113,3.768
rAy,ruAy,ر ا ي,r-a-y,328,4.236,21,7.766,70,4.942,151,4.939,86,2.868
ktb,ktb,ك ت ب,k-t-b,319,4.12,4,1.479,43,3.036,108,3.533,164,5.468
hdy,hdy,ه د ي,h-d-y,316,4.081,9,3.328,66,4.66,131,4.285,110,3.668
Zlm,uZlm,ظ ل م,ẓ-l-m,315,4.068,2,0.74,52,3.672,157,5.135,104,3.468
nfs,nfs,ن ف س,n-f-s,298,3.849,11,4.068,37,2.612,115,3.762,135,4.502
qbl,qbl,ق ب ل,q-b-l,294,3.797,2,0.74,53,3.742,130,4.252,109,3.635
nzl,nzl,ن ز ل,n-z-l,293,3.784,4,1.479,47,3.319,114,3.729,128,4.268
*kr,dhkr,ذ ك ر,dh-k-r,292,3.771,27,9.985,80,5.649,109,3.565,76,2.534
Hqq,uHqq,ح ق ق,ḥ-q-q,287,3.707,2,0.74,44,3.107,146,4.776,95,3.168
k*b,kdhb,ك ذ ب,k-dh-b,282,3.642,26,9.615,71,5.013,114,3.729,71,2.367
jyA,jyuA,ج ي ا,j-y-a,278,3.59,6,2.219,67,4.731,135,4.416,70,2.334
Ebd,uEbd,ع ب د,ʿ-b-d,275,3.552,14,5.178,63,4.448,150,4.906,48,1.601
Ax*,uAxdh,ا خ ذ,a-kh-dh,273,3.526,4,1.479,67,4.731,100,3.271,102,3.401
xlq,xlq,خ ل ق,kh-l-q,261,3.371,14,5.178,61,4.307,140,4.579,46,1.534
wqy,wqy,و ق ي,w-q-y,258,3.332,9,3.328,45,3.177,62,2.028,142,4.735
Axr,uAxr,ا خ ر,a-kh-r,250,3.229,17,6.287,36,2.542,100,3.271,97,3.234
Amr,uAmr,ا م ر,a-m-r,248,3.203,3,1.109,41,2.895,109,3.565,95,3.168
nws,nws,ن و س,n-w-s,241,3.113,6,2.219,25,1.765,88,2.878,122,4.068
bEd,buEd,ب ع د,b-ʿ-d,235,3.035,4,1.479,35,2.471,91,2.977,105,3.501
gfr,gfr,غ ف ر,gh-f-r,234,3.022,5,1.849,33,2.33,61,1.995,135,4.502
wly,wly,و ل ي,w-l-y,232,2.996,10,3.698,23,1.624,67,2.192,132,4.401
dEw,duEw,د ع و,d-ʿ-w,212,2.738,4,1.479,51,3.601,112,3.663,45,1.501
Hkm,uHkm,ح ك م,ḥ-k-m,210,2.712,5,1.849,17,1.2,71,2.322,117,3.901
mlk,mlk,م ل ك,m-l-k,206,2.661,8,2.959,34,2.401,80,2.617,84,2.801
End,uEnd,ع ن د,ʿ-n-d,201,2.596,9,3.328,32,2.259,68,2.224,92,3.068
jnn,jnn,ج ن ن,j-n-n,201,2.596,12,4.438,47,3.319,78,2.551,64,2.134
xyr,xyr,خ ي ر,kh-y-r,196,2.531,9,3.328,36,2.542,58,1.897,93,3.101
Hsn,uHsn,ح س ن,ḥ-s-n,194,2.506,7,2.589,30,2.118,84,2.748,73,2.434
nwr,nwr,ن و ر,n-w-r,194,2.506,7,2.589,32,2.259,58,1.897,97,3.234
Dll,uDll,ض ل ل,ḍ-l-l,191,2.467,8,2.959,47,3.319,86,2.813,50,1.667
smE,smuE,س م ع,s-m-ʿ,185,2.389,1,0.37,42,2.965,72,2.355,70,2.334
bny,bny,ب ن ي,b-n-y,184,2.376,4,1.479,30,2.118,67,2.192,83,2.768
Hyy,uHyy,ح ي ي,ḥ-y-y,184,2.376,7,2.589,37,2.612,78,2.551,62,2.067
xrj,xrj,خ ر ج,kh-r-j,182,2.351,1,0.37,44,3.107,57,1.864,80,2.668
SlH,uSluH,ص ل ح,ṣ-l-ḥ,180,2.325,4,1.479,39,2.754,70,2.29,67,2.234
sbl,sbl,س ب ل,s-b-l,176,2.273,5,1.849,20,1.412,50,1.635,101,3.368
tbE,tbuE,ت ب ع,t-b-ʿ,172,2.221,4,1.479,43,3.036,65,2.126,60,2.001
Awl,uAwl,ا و ل,a-w-l,170,2.196,10,3.698,43,3.036,65,2.126,52,1.734
qtl,qtl,ق ت ل,q-t-l,170,2.196,6,2.219,13,0.918,18,0.589,133,4.435
mvl,mvl,م ث ل,m-th-l,169,2.183,2,0.74,26,1.836,75,2.453,66,2.201
$rk,shrk,ش ر ك,sh-r-k,168,2.17,2,0.74,20,1.412,95,3.107,51,1.701
qlb,qlb,ق ل ب,q-l-b,168,2.17,1,0.37,15,1.059,42,1.374,110,3.668
kvr,kvr,ك ث ر,k-th-r,167,2.157,4,1.479,37,2.612,62,2.028,64,2.134
swA,swuA,س و ا,s-w-a,167,2.157,1,0.37,38,2.683,72,2.355,56,1.867
mwt,mwt,م و ت,m-w-t,165,2.131,5,1.849,26,1.836,68,2.224,66,2.201
kbr,kbr,ك ب ر,k-b-r,161,2.079,8,2.959,26,1.836,89,2.911,38,1.267
$hd,shhd,ش ه د,sh-h-d,160,2.066,7,2.589,12,0.847,53,1.734,88,2.934
nbA,nbuA,ن ب ا,n-b-a,160,2.066,2,0.74,27,1.906,42,1.374,89,2.968
bED,buEuD,ب ع ض,b-ʿ-ḍ,158,2.041,2,0.74,14,0.988,61,1.995,81,2.701
nSr,nuSr,ن ص ر,n-ṣ-r,158,2.041,0,0,21,1.483,45,1.472,92,3.068
Sdq,uSdq,ص د ق,ṣ-d-q,155,2.002,3,1.109,24,1.695,52,1.701,76,2.534
gyr,gyr,غ ي ر,gh-y-r,154,1.989,5,1.849,24,1.695,65,2.126,60,2.001
wEd,wuEd,و ع د,w-ʿ-d,151,1.95,3,1.109,41,2.895,72,2.355,35,1.167
bSr,buSr,ب ص ر,b-ṣ-r,148,1.911,7,2.589,31,2.189,71,2.322,39,1.3
rwd,rwd,ر و د,r-w-d,148,1.911,5,1.849,23,1.624,50,1.635,70,2.334
lqy,lqy,ل ق ي,l-q-y,146,1.886,3,1.109,53,3.742,54,1.766,36,1.2
dwn,dwn,د و ن,d-w-n,144,1.86,1,0.37,28,1.977,80,2.617,35,1.167
nEm,nuEm,ن ع م,n-ʿ-m,140,1.808,11,4.068,19,1.342,60,1.963,50,1.667
slm,slm,س ل م,s-l-m,140,1.808,3,1.109,26,1.836,54,1.766,57,1.901
dnw,dnw,د ن و,d-n-w,133,1.718,5,1.849,13,0.918,54,1.766,61,2.034
qdr,qdr,ق د ر,q-d-r,132,1.705,16,5.917,18,1.271,52,1.701,46,1.534
n*r,ndhr,ن ذ ر,n-dh-r,130,1.679,6,2.219,50,3.53,57,1.864,17,0.567
jmE,jmuE,ج م ع,j-m-ʿ,129,1.666,6,2.219,27,1.906,51,1.668,45,1.501
nZr,nuZr,ن ظ ر,n-ẓ-r,129,1.666,3,1.109,37,2.612,59,1.93,30,1
sAl,suAl,س ا ل,s-a-l,129,1.666,7,2.589,21,1.483,61,1.995,40,1.334
TwE,uTwuE,ط و ع,ṭ-w-ʿ,129,1.666,5,1.849,19,1.342,32,1.047,73,2.434
EZm,uEuZm,ع ظ م,ʿ-ẓ-m,128,1.653,3,1.109,19,1.342,38,1.243,68,2.267
Ahl,uAhl,ا ه ل,a-h-l,127,1.64,3,1.109,31,2.189,40,1.308,53,1.767
xlf,xlf,خ ل ف,kh-l-f,127,1.64,0,0,31,2.189,51,1.668,45,1.501
dxl,dxl,د خ ل,d-kh-l,126,1.627,3,1.109,18,1.271,40,1.308,65,2.167
xwf,xwf,خ و ف,kh-w-f,124,1.601,3,1.109,31,2.189,43,1.407,47,1.567
b$r,bshr,ب ش ر,b-sh-r,123,1.589,5,1.849,20,1.412,61,1.995,37,1.234
rzq,rzq,ر ز ق,r-z-q,123,1.589,1,0.37,18,1.271,61,1.995,43,1.434
