root,safeKey,rootLatin,surah,count,perThousand
$Am,shuAm,sh-a-m,56,2,5.277
$Am,shuAm,sh-a-m,90,1,12.195
$An,shuAn,sh-a-n,10,1,0.546
$An,shuAn,sh-a-n,24,1,0.76
$An,shuAn,sh-a-n,55,1,2.849
$An,shuAn,sh-a-n,80,1,7.519
$Eb,shuEb,sh-ʿ-b,49,1,2.882
$Eb,shuEb,sh-ʿ-b,77,1,5.525
$El,shuEl,sh-ʿ-l,19,1,1.041
$Er,shuEr,sh-ʿ-r,2,5,0.818
$Er,shuEr,sh-ʿ-r,3,1,0.287
$Er,shuEr,sh-ʿ-r,5,1,0.357
$Er,shuEr,sh-ʿ-r,6,3,0.984
$Er,shuEr,sh-ʿ-r,7,1,0.301
$Er,shuEr,sh-ʿ-r,12,2,1.125
$Er,shuEr,sh-ʿ-r,16,4,2.169
$Er,shuEr,sh-ʿ-r,18,1,0.633
$Er,shuEr,sh-ʿ-r,21,1,0.855
$Er,shuEr,sh-ʿ-r,22,2,1.57
$Er,shuEr,sh-ʿ-r,23,1,0.952
$Er,shuEr,sh-ʿ-r,26,3,2.276
$Er,shuEr,sh-ʿ-r,27,3,2.606
$Er,shuEr,sh-ʿ-r,28,2,1.399
$Er,shuEr,sh-ʿ-r,29,1,1.025
$Er,shuEr,sh-ʿ-r,36,1,1.379
$Er,shuEr,sh-ʿ-r,37,1,1.163
$Er,shuEr,sh-ʿ-r,39,2,1.706
$Er,shuEr,sh-ʿ-r,43,1,1.205
$Er,shuEr,sh-ʿ-r,49,1,2.882
$Er,shuEr,sh-ʿ-r,52,1,3.205
$Er,shuEr,sh-ʿ-r,53,1,2.778
$Er,shuEr,sh-ʿ-r,69,1,3.876
$HH,shuHuH,sh-ḥ-ḥ,4,1,0.267
$HH,shuHuH,sh-ḥ-ḥ,33,2,1.554
$HH,shuHuH,sh-ḥ-ḥ,59,1,2.247
$HH,shuHuH,sh-ḥ-ḥ,64,1,4.149
$Hm,shuHm,sh-ḥ-m,6,1,0.328
$Hn,shuHn,sh-ḥ-n,26,1,0.759
$Hn,shuHn,sh-ḥ-n,36,1,1.379
$Hn,shuHn,sh-ḥ-n,37,1,1.163
$TA,shuTuA,sh-ṭ-a,28,1,0.699
$TA,shuTuA,sh-ṭ-a,48,1,1.786
$TT,shuTuT,sh-ṭ-ṭ,18,1,0.633
$TT,shuTuT,sh-ṭ-ṭ,38,1,1.364
$TT,shuTuT,sh-ṭ-ṭ,72,1,3.509
$Tn,shuTn,sh-ṭ-n,2,8,1.308
$Tn,shuTn,sh-ṭ-n,3,3,0.862
$Tn,shuTn,sh-ṭ-n,4,8,2.135
$Tn,shuTn,sh-ṭ-n,5,2,0.713
$Tn,shuTn,sh-ṭ-n,6,6,1.967
$Tn,shuTn,sh-ṭ-n,7,8,2.41
$Tn,shuTn,sh-ṭ-n,8,2,1.622
$Tn,shuTn,sh-ṭ-n,12,3,1.688
$Tn,shuTn,sh-ṭ-n,14,1,1.205
$Tn,shuTn,sh-ṭ-n,15,1,1.527
$Tn,shuTn,sh-ṭ-n,16,2,1.085
$Tn,shuTn,sh-ṭ-n,17,5,3.213
$Tn,shuTn,sh-ṭ-n,18,1,0.633
$Tn,shuTn,sh-ṭ-n,19,5,5.203
$Tn,shuTn,sh-ṭ-n,20,1,0.749
$Tn,shuTn,sh-ṭ-n,21,1,0.855
