surah,sectionIndex,fromVerse,toVerse,verseCount
1,1,1,7,7
2,1,1,33,33
2,2,34,50,17
2,3,51,53,3
2,4,54,71,18
2,5,72,82,11
2,6,83,128,46
2,7,129,133,5
2,8,134,150,17
2,9,151,164,14
2,10,165,182,18
2,11,183,189,7
2,12,190,242,53
2,13,243,250,8
2,14,251,267,17
2,15,268,274,7
2,16,275,278,4
2,17,279,286,8
3,1,1,66,66
3,2,67,72,6
3,3,73,77,5
3,4,78,82,5
3,5,83,95,13
3,6,96,100,5
3,7,101,122,22
3,8,123,125,3
3,9,126,160,35
3,10,161,180,20
3,11,181,188,8
3,12,189,200,12
4,1,1,12,12
4,2,13,21,9
4,3,22,28,7
4,4,29,31,3
4,5,32,36,5
4,6,37,57,21
4,7,58,86,29
4,8,87,95,9
4,9,96,110,15
4,10,111,124,14
4,11,125,176,52
5,1,1,16,16
5,2,17,20,4
5,3,21,59,39
5,4,60,63,4
5,5,64,68,5
5,6,69,84,16
5,7,85,88,4
5,8,89,108,20
5,9,109,120,12
6,1,1,3,3
6,2,4,23,20
6,3,24,43,20
6,4,44,79,36
6,5,80,82,3
6,6,83,86,4
6,7,87,113,27
6,8,114,121,8
6,9,122,132,11
6,10,133,135,3
6,11,136,165,30
7,1,1,3,3
7,2,4,15,12
7,3,16,18,3
7,4,19,24,6
7,5,25,27,3
7,6,28,50,23
7,7,51,82,32
7,8,83,86,4
7,9,87,89,3
7,10,90,93,4
7,11,94,107,14
7,12,108,113,6
7,13,114,117,4
7,14,118,173,56
7,15,174,206,33
8,1,1,48,48
8,2,49,56,8
8,3,57,59,3
8,4,60,67,8
8,5,68,70,3
8,6,71,75,5
9,1,1,3,3
9,2,4,7,4
9,3,8,15,8
9,4,16,45,30
9,5,46,52,7
9,6,53,55,3
9,7,56,85,30
9,8,86,90,5
9,9,91,101,11
9,10,102,104,3
9,11,105,129,25
10,1,1,24,24
10,2,25,27,3
10,3,28,36,9
10,4,37,49,13
10,5,50,55,6
10,6,56,68,13
10,7,69,75,7
10,8,76,81,6
10,9,82,109,28
11,1,1,40,40
11,2,41,52,12
11,3,53,55,3
11,4,56,60,5
11,5,61,71,11
11,6,72,80,9
11,7,81,83,3
11,8,84,96,13
11,9,97,99,3
11,10,100,123,24
12,1,1,19,19
12,2,20,29,10
12,3,30,45,16
12,4,46,60,15
12,5,61,65,5
12,6,66,96,31
12,7,97,111,15
13,1,1,4,4
13,2,5,20,16
13,3,21,25,5
13,4,26,29,4
13,5,30,43,14
14,1,1,8,8
14,2,9,22,14
14,3,23,26,4
14,4,27,33,7
14,5,34,37,4
14,6,38,40,3
14,7,41,52,12
15,1,1,9,9
15,2,10,22,13
15,3,23,25,3
15,4,26,33,8
15,5,34,38,5
15,6,39,99,61
16,1,1,28,28
16,2,29,49,21
16,3,50,69,20
16,4,70,89,20
16,5,90,94,5
16,6,95,97,3
16,7,98,100,3
16,8,101,125,25
16,9,126,128,3
17,1,1,77,77
17,2,78,91,14
17,3,92,96,5
17,4,97,111,15
18,1,1,59,59
18,2,60,64,5
18,3,65,71,7
18,4,72,82,11
18,5,83,88,6
18,6,89,92,4
18,7,93,107,15
18,8,108,110,3
19,1,1,45,45
19,2,46,50,5
19,3,51,53,3
19,4,54,58,5
19,5,59,90,32
19,6,91,98,8
20,1,1,34,34
20,2,35,37,3
20,3,38,92,55
20,4,93,95,3
20,5,96,98,3
20,6,99,135,37
21,1,1,65,65
21,2,66,102,37
21,3,103,112,10
22,1,1,11,11
22,2,12,44,33
22,3,45,57,13
22,4,58,60,3
22,5,61,78,18
23,1,1,95,95
23,2,96,103,8
23,3,104,106,3
23,4,107,109,3
23,5,110,114,5
23,6,115,118,4
24,1,1,10,10
24,2,11,57,47
24,3,58,64,7
25,1,1,14,14
25,2,15,37,23
25,3,38,47,10
25,4,48,69,22
25,5,70,77,8
26,1,1,163,163
26,2,164,166,3
26,3,167,170,4
26,4,171,173,3
26,5,174,227,54
27,1,1,25,25
27,2,26,29,4
27,3,30,56,27
27,4,57,59,3
27,5,60,86,27
27,6,87,93,7
28,1,1,65,65
28,2,66,68,3
28,3,69,75,7
28,4,76,88,13
29,1,1,4,4
29,2,5,30,26
29,3,31,34,4
29,4,35,43,9
29,5,44,57,14
29,6,58,69,12
30,1,1,10,10
30,2,11,15,5
30,3,16,27,12
30,4,28,33,6
30,5,34,36,3
30,6,37,60,24
31,1,1,23,23
31,2,24,28,5
31,3,29,34,6
32,1,1,21,21
32,2,22,26,5
32,3,27,30,4
33,1,1,7,7
33,2,8,26,19
33,3,27,56,30
33,4,57,73,17
34,1,1,16,16
34,2,17,34,18
34,3,35,38,4
34,4,39,42,4
34,5,43,46,4
34,6,47,54,8
35,1,1,5,5
35,2,6,45,40
36,1,1,11,11
36,2,12,16,5
36,3,17,35,19
36,4,36,41,6
36,5,42,83,42
37,1,1,161,161
37,2,162,164,3
37,3,165,167,3
37,4,168,182,15
38,1,1,76,76
38,2,77,81,5
38,3,82,88,7
39,1,1,13,13
39,2,14,29,16
39,3,30,51,22
39,4,52,55,4
39,5,56,75,20
40,1,1,18,18
40,2,19,24,6
40,3,25,34,10
40,4,35,43,9
40,5,44,61,18
40,6,62,85,24
41,1,1,18,18
41,2,19,23,5
41,3,24,46,23
41,4,47,54,8
42,1,1,35,35
42,2,36,38,3
42,3,39,43,5
42,4,44,47,4
42,5,48,53,6
43,1,1,20,20
43,2,21,24,4
43,3,25,53,29
43,4,54,56,3
43,5,57,60,4
43,6,61,89,29
44,1,1,9,9
44,2,10,12,3
44,3,13,59,47
45,1,1,11,11
45,2,12,37,26
46,1,1,5,5
46,2,6,12,7
46,3,13,18,6
46,4,19,35,17
47,1,1,27,27
47,2,28,35,8
47,3,36,38,3
48,1,1,6,6
48,2,7,13,7
48,3,14,24,11
48,4,25,29,5
49,1,1,5,5
49,2,6,13,8
49,3,14,18,5
50,1,1,10,10
50,2,11,14,4
50,3,15,40,26
50,4,41,45,5
51,1,1,60,60
52,1,1,14,14
52,2,15,49,35
53,1,1,19,19
53,2,20,22,3
53,3,23,28,6
53,4,29,62,34
54,1,1,14,14
54,2,15,18,4
54,3,19,41,23
54,4,42,55,14
55,1,1,9,9
55,2,10,12,3
55,3,13,15,3
55,4,16,18,3
55,5,19,25,7
55,6,26,44,19
55,7,45,78,34
56,1,1,96,96
57,1,1,6,6
57,2,7,15,9
57,3,16,23,8
57,4,24,29,6
58,1,1,5,5
58,2,6,9,4
58,3,10,14,5
58,4,15,22,8
59,1,1,19,19
59,2,20,24,5
60,1,1,9,9
60,2,10,13,4
61,1,1,3,3
61,2,4,14,11
62,1,1,4,4
62,2,5,8,4
62,3,9,11,3
63,1,1,8,8
63,2,9,11,3
64,1,1,4,4
64,2,5,18,14
65,1,1,7,7
65,2,8,12,5
66,1,1,5,5
66,2,6,12,7
67,1,1,21,21
67,2,22,24,3
67,3,25,30,6
68,1,1,19,19
68,2,20,22,3
68,3,23,52,30
69,1,1,3,3
69,2,4,39,36
69,3,40,52,13
70,1,1,44,44
71,1,1,15,15
71,2,16,19,4
71,3,20,28,9
72,1,1,7,7
72,2,8,28,21
73,1,1,20,20
74,1,1,56,56
75,1,1,30,30
75,2,31,40,10
76,1,1,9,9
76,2,10,12,3
76,3,13,31,19
77,1,1,50,50
78,1,1,40,40
79,1,1,31,31
79,2,32,34,3
79,3,35,38,4
79,4,39,46,8
80,1,1,12,12
80,2,13,42,30
81,1,1,29,29
82,1,1,19,19
83,1,1,12,12
83,2,13,15,3
83,3,16,20,5
83,4,21,36,16
84,1,1,6,6
84,2,7,25,19
85,1,1,22,22
86,1,1,17,17
87,1,1,19,19
88,1,1,26,26
89,1,1,30,30
90,1,1,3,3
90,2,4,20,17
91,1,1,15,15
92,1,1,21,21
93,1,1,11,11
94,1,1,8,8
95,1,1,8,8
96,1,1,4,4
96,2,5,16,12
96,3,17,19,3
97,1,1,5,5
98,1,1,5,5
98,2,6,8,3
99,1,1,8,8
100,1,1,11,11
101,1,1,3,3
101,2,4,11,8
102,1,1,8,8
103,1,1,3,3
104,1,1,3,3
104,2,4,9,6
105,1,1,5,5
106,1,1,4,4
107,1,1,7,7
108,1,1,3,3
109,1,1,6,6
110,1,1,3,3
111,1,1,5,5
112,1,1,4,4
113,1,1,5,5
114,1,1,3,3
114,2,4,6,3
