surah,nameTranslit,nameArabic,nameEnglish,revelationOrder,period,verseCount,tokenCount,distinctRootCount,rootDiversityRatio,distinctFormCount,formDiversityRatio,formMATTR,formMTLD,distinctLemmaCount,lemmaDiversityRatio,nounPct,verbPct
1,al-Fatihah,الفاتحة,The Opening,5,meccan-early,7,29,18,0.6207,26,0.8966,0.92,78.49,23,0.7931,41.4,13.8
2,al-Baqarah,البقرة,The Cow,87,medinan,286,6116,585,0.0957,2709,0.4429,0.9512,406.64,1136,0.1857,30.4,25
3,Al ʿImran,آل عمران,Family of Imran,89,medinan,200,3481,439,0.1261,1725,0.4955,0.9496,418.16,760,0.2183,31.1,24.8
4,al-Nisa',النساء,The Women,92,medinan,176,3747,462,0.1233,1745,0.4657,0.9434,322.04,809,0.2159,30.4,24.8
5,al-Ma'idah,المائدة,The Table Spread,112,medinan,120,2804,422,0.1505,1454,0.5185,0.952,474.34,684,0.2439,31,25.4
6,al-An'am,الأنعام,The Cattle,55,meccan-late,165,3050,421,0.138,1597,0.5236,0.9583,545.08,724,0.2374,30.9,26.9
7,al-A'raf,الأعراف,The Heights,39,meccan-middle,206,3320,477,0.1437,1807,0.5443,0.967,556.41,818,0.2464,30.4,29.2
8,al-Anfal,الأنفال,The Spoils of War,88,medinan,75,1233,266,0.2157,730,0.5921,0.9451,307.87,399,0.3236,29.3,25.8
9,al-Tawbah,التوبة,The Repentance,113,medinan,129,2498,366,0.1465,1319,0.528,0.9536,405.34,637,0.255,30.1,24.5
10,Yunus,يونس,Jonah,51,meccan-late,109,1833,290,0.1582,1025,0.5592,0.9553,385.44,485,0.2646,30,25.5
11,Hud,هود,Hud,52,meccan-late,123,1917,348,0.1815,1094,0.5707,0.9601,538.39,553,0.2885,32,23.8
12,Yusuf,يوسف,Joseph,53,meccan-late,111,1777,336,0.1891,1054,0.5931,0.9661,601.72,511,0.2876,30.9,26.6
13,al-Ra'd,الرعد,The Thunder,96,medinan,43,853,244,0.286,583,0.6835,0.9662,540.49,347,0.4068,37.5,22
14,Ibrahim,إبراهيم,Abraham,72,meccan-late,52,830,225,0.2711,577,0.6952,0.9641,532.04,333,0.4012,34.9,23.7
15,al-Hijr,الحجر,The Rocky Tract,54,meccan-late,99,655,201,0.3069,474,0.7237,0.9509,663.69,288,0.4397,35.1,25.2
16,al-Nahl,النحل,The Bee,70,meccan-late,128,1844,358,0.1941,1042,0.5651,0.9528,485.18,551,0.2988,32.5,24.3
17,al-Isra,الإسراء,The Night Journey,50,meccan-late,111,1556,342,0.2198,1000,0.6427,0.966,804.55,532,0.3419,35.5,26.5
18,al-Kahf,الكهف,The Cave,69,meccan-late,110,1579,369,0.2337,1031,0.6529,0.9667,657.7,551,0.349,35.6,27.7
19,Maryam,مريم,Mary,44,meccan-middle,98,961,239,0.2487,655,0.6816,0.9549,529.51,359,0.3736,34.3,26.6
20,Taha,طه,Ta-Ha,45,meccan-middle,135,1335,324,0.2427,910,0.6816,0.9682,816.05,482,0.361,27.9,29.4
21,al-Anbiya,الأنبياء,The Prophets,73,meccan-late,112,1169,284,0.2429,779,0.6664,0.9693,640.71,422,0.361,33.6,25.7
22,al-Hajj,الحج,The Pilgrimage,103,medinan,78,1274,328,0.2575,779,0.6115,0.9388,344.7,485,0.3807,32.7,22
23,al-Mu'minun,المؤمنون,The Believers,74,meccan-late,118,1050,271,0.2581,698,0.6648,0.9579,607.83,391,0.3724,33,24.1
24,al-Nur,النور,The Light,102,medinan,64,1316,287,0.2181,763,0.5798,0.9386,354.89,415,0.3153,33.4,21.3
25,al-Furqan,الفرقان,The Criterion,42,meccan-middle,77,893,250,0.28,632,0.7077,0.9633,672.53,371,0.4155,35.3,27.2
