surah,themeSlug,themeTitle,perThousand
2,marriage,Marriage and spouses,3.9
2,covenant,Covenant and fulfillment,2.9
2,pilgrimage,Pilgrimage,2
2,fasting,Fasting,1.1
2,healing,Illness and healing,0.8
2,anger,Anger and restraint,0.5
3,love,Love,4.6
3,covenant,Covenant and fulfillment,2.9
3,joy-sorrow,Joy and sorrow,2
3,pilgrimage,Pilgrimage,2
3,anger,Anger and restraint,0.6
4,hellfire,Hellfire and consequence,1.6
4,striving,Effort and striving,0.8
4,healing,Illness and healing,0.5
5,wisdom,Wisdom,6.8
5,blessing,Blessing,3.6
5,love,Love,2.9
5,striving,Effort and striving,1.1
5,fasting,Fasting,0.7
5,healing,Illness and healing,0.7
6,justice,Justice,10.2
6,pilgrimage,Pilgrimage,1.3
7,sincerity,Sincerity,2.4
7,anger,Anger and restraint,1.2
8,charity,Charity and giving,4.9
8,covenant,Covenant and fulfillment,3.2
8,striving,Effort and striving,2.4
8,trust,Trust in God,2.4
9,charity,Charity and giving,10.4
9,striving,Effort and striving,4.4
9,covenant,Covenant and fulfillment,3.6
9,joy-sorrow,Joy and sorrow,1.6
9,healing,Illness and healing,1.2
9,pilgrimage,Pilgrimage,0.8
10,joy-sorrow,Joy and sorrow,2.2
10,trust,Trust in God,2.2
11,fear-hope,Fear and hope,3.7
11,sincerity,Sincerity,1
12,brotherhood,Brotherhood and community,12.9
12,sincerity,Sincerity,2.3
12,trust,Trust in God,2.3
12,joy-sorrow,Joy and sorrow,1.7
13,covenant,Covenant and fulfillment,4.7
13,fear-hope,Fear and hope,3.5
13,marriage,Marriage and spouses,3.5
13,joy-sorrow,Joy and sorrow,2.3
14,justice,Justice,10.8
14,trust,Trust in God,4.8
14,gratitude,Gratitude,3.6
15,brotherhood,Brotherhood and community,9.2
16,blessing,Blessing,7
16,covenant,Covenant and fulfillment,4.3
16,anger,Anger and restraint,1.1
16,striving,Effort and striving,1.1
17,arrogance,Arrogance and humility,8.4
17,tyranny,Tyranny and transgression,4.5
17,trust,Trust in God,3.2
17,hellfire,Hellfire and consequence,1.3
20,fear-hope,Fear and hope,5.2
20,anger,Anger and restraint,3
21,justice,Justice,10.3
22,blessing,Blessing,4.7
22,certainty,Certainty and doubt,1.6
22,striving,Effort and striving,1.6
23,death,Death and mortality,5.7
24,marriage,Marriage and spouses,4.6
24,healing,Illness and healing,1.5
