surah,verse,tokens,seconds_husary,seconds_minshawi,seconds_abdulbasitmurattal,seconds_abdurrahmaansudais,seconds_saoodshuraym
1,1,4,5.1,5,4.4,3.1,5.3
1,2,4,6.3,5.6,5.4,4.5,3.6
1,3,2,4.5,4.3,4.1,3.1,3.2
1,4,3,4.6,4.1,4.6,3.4,2.8
1,5,4,6.9,6.3,5.7,4.9,4.8
1,6,3,5.4,5.1,4.9,4.2,3.6
1,7,9,15,13.7,13.2,11.7,14
2,1,1,9.9,6.5,7.8,7.1,6.8
2,2,7,12.6,9.4,8.3,6.8,5.5
2,3,8,16.1,13.2,11.9,10.8,9.8
2,4,12,22.2,16.9,17.4,12.7,10.3
2,5,8,19.2,12.7,11.2,9.6,8.4
2,6,11,19.4,15.5,14.7,15.5,10
2,7,12,24.7,18.4,16.8,12.1,10.9
2,8,11,17.7,14.4,13.3,11.7,10
2,9,10,19.7,14.7,14.9,11.4,9.6
2,10,12,24.6,16.9,15.6,13.3,12.9
2,11,11,16.6,11.9,11.6,9.7,7.6
2,12,7,13.4,10,9.8,7.4,5.6
2,13,19,37.7,29.4,26.7,20.3,15.2
2,14,16,32,26.5,21.8,15.9,12.8
2,15,7,13.6,10,9.4,7.9,6.2
2,16,11,22.5,13.6,13.8,11.3,10.4
2,17,17,30.2,32.2,19.7,19.4,17.8
2,18,6,12.4,8.6,9.4,7.7,5.3
2,19,19,39.7,28.9,27.5,20.8,18.5
2,20,25,49.9,34.1,33,25.1,23.3
2,21,11,21.7,15.4,16.4,11.6,9.8
2,22,23,44.7,41,33.3,25.7,22.7
2,23,20,52.1,31.6,27.2,19.7,20.1
2,24,13,24.2,18.3,17.6,14.7,10.7
2,25,34,66.2,44.4,45.6,39.2,28.5
2,26,39,73.1,53.3,50.8,36.7,29.8
2,27,20,39.6,28,26.8,18.1,19.9
2,28,13,29.1,18.6,20.1,14.9,12.2
2,29,19,33.3,24,26.5,17.5,15
2,30,28,55.6,37.5,38.5,26.4,21.6
2,31,15,41.5,30.7,27.9,18.5,18.1
2,32,12,23.3,16.9,17.2,11.2,8.6
2,33,22,51,39.2,39.1,26.3,20.7
2,34,13,26.4,17.8,20.1,12.3,10.9
2,35,18,41.3,28.4,28.2,17.3,14.6
2,36,19,38.6,24.1,23.2,17.2,15.2
2,37,11,25.3,16.5,17.2,11.3,8.8
2,38,17,30,28.3,21.8,15.4,12.6
2,39,10,24.4,17.4,17.2,12.3,10.8
2,40,13,29.1,25.7,30.5,13.8,12.4
2,41,18,37.5,25.5,33.6,18.9,14.7
2,42,8,16,10.8,10.6,9,7
2,43,7,13.5,9,8.8,9.2,5.8
2,44,10,25.5,17.3,17.8,12.2,9.7
2,45,8,20,12.2,13.2,8.5,7.6
2,46,8,19.8,12.4,13.9,9.3,7.8
2,47,11,25.1,17.1,18,12.2,10.5
2,48,19,32.8,19.7,21.3,15.1,15.7
2,49,18,39.8,35.2,31.1,21.2,18.7
2,50,10,25.2,15.3,16.2,10.5,9.8
2,51,12,24,17.1,18.4,10.9,10.3
2,52,8,16.9,11.3,13.1,7.8,6.6
2,53,7,14.7,9.5,10.6,7.4,5.8
2,54,26,53.8,36.6,42.8,24.7,22.6
2,55,14,25.7,16.3,19.6,12.5,10.4
2,56,7,14.8,10.3,11.9,7.3,5.9
2,57,18,40.3,26,27.4,19.6,16
2,58,20,36.4,24,25.7,17.3,17.9
2,59,18,28.2,25.9,21.2,17.3,19.9
2,60,28,42.8,29.7,32.4,21.6,19.4
2,61,59,119.8,77.3,102.8,57.2,50
2,62,24,53,36.8,40.4,22.3,19.8
2,63,15,28.2,19.7,22.9,13.2,13.2
2,64,13,26.3,18,21.5,12.3,11.1
2,65,12,20.1,12.9,17.3,10.8,8.7
2,66,9,18.6,11.9,16.2,9.2,9.3
2,67,20,37.3,25.9,37.1,16.5,14.9
2,68,23,35,24.6,29.1,17.3,14.8
2,69,18,33,22.9,27.7,16.8,13.9
2,70,17,39.1,18.7,23.7,13.8,12.4
2,71,24,40.8,27.3,36.3,20.6,16.7
2,72,10,20.9,15.1,17.8,10.2,8
2,73,11,24,15.3,19.6,10.9,10.1
2,74,37,62.6,43.8,56.5,35.3,28.7
2,75,19,30,25.1,26,18.6,16.6
2,76,23,63.5,39.9,50.1,31.2,19.5
2,77,9,15.9,10,13.2,7.2,6.9
2,78,11,22.9,14.5,19.3,9.7,8.5
2,79,24,45.3,31,40.9,23.4,18.7
2,80,23,35.2,28.5,37.6,22.7,15.9
2,81,13,28.4,20,22.1,17.2,13.6
2,82,10,21.6,15.7,19.4,12,10.2
2,83,29,54.5,49.2,67.7,33.3,25.9
2,84,15,25.4,19.3,38.9,15.3,13.8
2,85,49,93.6,83.3,109.8,51.9,46.3
2,86,13,22.9,15.8,21.3,15.5,12.4
2,87,28,51.7,36.1,52,28.9,30.6
2,88,10,18,13.2,18.4,9.9,9.1
2,89,26,44,37.6,52.6,27.3,24.6
2,90,27,46.3,33.9,47.5,27.9,26.8
2,91,30,48.2,41.1,58.4,28.7,28.8
2,92,11,21.6,15,21.4,10.8,11.9
2,93,27,52.1,37.1,65.2,28.3,26.3
2,94,17,25.9,18.4,25.8,16.4,16.5
2,95,9,20.7,15.3,19.5,9.9,9.1
2,96,25,42.5,30.4,42.8,24.2,21.2
2,97,18,32.1,18.4,18.8,15.7,14.4
2,98,12,26.3,17.2,18.7,17.9,17.3
2,99,10,20.3,17,15.3,9.4,9.5
2,100,10,21.6,14.2,15.4,9.3,8.9
2,101,22,48.9,32.2,41.9,21.9,23.3
2,102,74,134.5,87.8,111.9,64.8,57.9
2,103,12,22.3,14.6,17.1,9.7,9.5
2,104,12,25.9,17.4,20.9,12.5,11.2
2,105,25,39.9,28.4,34,25.1,19.8
2,106,19,29.3,22.3,24.7,14.7,13.7
2,107,17,27.9,17.9,23.7,12,13.7
2,108,18,27.6,21.1,25.3,16.1,16.2
2,109,33,60.4,36.2,66.6,26.5,28.5
2,110,17,36.8,22.2,27.7,17.3,14.4
2,111,18,32,22.2,27.3,16.6,14.6
2,112,17,27.5,23.5,23.8,19.6,12.2
2,113,31,55.3,34.2,49.2,27.1,25.3
2,114,30,49.7,33.1,45.6,25.9,23.5
2,115,12,25.2,16.8,20.7,10.9,10.5
2,116,14,25.3,16.5,21.2,11.2,10.4
2,117,11,22,15.8,20,11.8,9.5
2,118,24,45.6,31.5,40.9,21.4,20.1
2,119,10,21.7,15.1,19.1,11.1,10
2,120,31,52,32.1,46,25.4,23.3
2,121,15,32.7,23.2,29.3,18,15.5
2,122,11,26.1,16.5,23.7,12,10.9
2,123,18,29.6,18.2,39.5,17.6,21.7
2,124,19,39.8,28.4,32.1,19,17.5
2,125,22,49.2,29.6,44.3,23.6,26.9
2,126,30,55,34.5,46.2,30.4,24.6
2,127,14,27.6,17,23.4,15.4,11.9
2,128,17,35.2,25.8,39.9,19.2,15.6
2,129,16,34.2,26.5,31.6,14.8,16.9
2,130,18,34.4,21,27.7,13.9,13.4
2,131,9,16,10.3,14.3,7.4,6.5
2,132,16,44.4,18.9,29.1,18.5,18.2
2,133,27,55.3,33.7,53.6,26.2,24.5
2,134,15,28.7,17.7,21.9,16.9,12
2,135,15,27.2,16.5,23.1,11.2,11.5
2,136,31,73.5,39.7,70.1,27,31.3
2,137,19,39.3,24.9,34.8,18.5,15.2
2,138,10,18.8,10.7,13.9,8.9,7.4
2,139,14,32.2,17.5,37,14.9,13
2,140,30,57.5,34.3,53.4,27.5,24.9
2,141,15,23.4,16.6,23.3,16.8,13.9
2,142,21,38.7,26.8,38.5,17.3,19
2,143,45,86.1,54.7,78.1,44.5,38.7
2,144,34,64.5,41,59.9,29.7,30.3
2,145,32,48.1,37.6,54.5,25.8,25.2
2,146,14,24.1,19.3,27.8,12.4,13.9
2,147,7,11.6,8.4,11.9,4.9,5.3
2,148,19,31.5,21.7,30.6,17.5,14.9
2,149,17,24.4,18.5,26.9,13.8,14.1
2,150,31,56,34.9,58,32,27.5
2,151,17,40.6,21,41.8,17.5,18.2
2,152,6,13.1,10,12,5.3,5.2
2,153,10,21.8,14.5,20.2,7.6,9
2,154,13,24.1,14.7,22.3,9.8,10.4
2,155,12,28.2,19.2,27.1,11.9,11.9
2,156,10,24.4,16.9,21.5,9.7,12.2
2,157,9,20.9,13.6,18.1,11.7,9.8
2,158,24,40.3,30.3,37.7,17.8,17.6
2,159,20,40.3,33.3,40.9,21.6,21.2
2,160,11,23.2,14.3,20.6,13.3,14
2,161,13,24.8,18.2,23.4,18,11.5
2,162,9,17.9,11,13.3,9.4,6.5
2,163,9,17,11.9,16.5,8.2,7.1
2,164,43,97.8,68.7,101.7,37.6,35.7
2,165,31,56.6,38.8,49.1,27.6,22.5
2,166,12,19.5,13.7,18.8,8.9,9
2,167,23,42.4,28.7,38.5,21,19.4
2,168,16,32.4,22.7,29.7,13,12.9
2,169,11,22.4,15.3,20.5,10.6,8.4
2,170,22,44.2,30.1,37.9,17.6,16.8
2,171,18,32.7,24.9,31.1,18.8,14.2
2,172,14,27.8,19.2,20.1,14.3,11.8
2,173,25,45.4,30.8,37.5,20.8,17.1
2,174,29,65.2,45.9,53,27.6,24.8
2,175,11,24.6,17.7,22.4,16.4,10.6
2,176,14,25.7,17.5,23.1,15.4,12.3
2,177,51,135.3,95,113.1,75.8,47.9
2,178,37,73.6,49.7,63.5,40.9,30
2,179,8,17.2,11.8,16.9,12.6,7.2
2,180,16,31,19.3,26,16.9,17.2
2,181,13,28.1,20.9,26.1,13.5,10.9
2,182,16,28.5,21.1,25.5,14.7,12.3
2,183,14,26.3,17.6,24.2,13.3,10.5
2,184,32,66.2,45,60,36.9,25.5
2,185,44,77.7,58,71.8,43.3,32.1
2,186,17,34.4,24.5,35.4,25.9,14.5
2,187,65,124.8,90.5,113.6,70,53.7
2,188,17,33.8,32.5,31.2,24.9,16.2
2,189,27,48.8,30.1,43.5,25.7,19.5
2,190,13,28.1,14,21.9,12.1,10.1
2,191,25,55.5,32.5,48.2,29,22.7
2,192,6,11.2,7.2,10.6,5.7,4.8
2,193,15,28.8,17,26.9,16.2,11.6
2,194,22,42.4,24.4,37.5,20.3,17.6
2,195,14,27.3,16.3,25.7,16.9,11.4
2,196,73,128.4,74.8,114.6,64.2,49.8
2,197,29,57.6,30.9,46.7,32.9,26.1
2,198,26,67.5,33.2,52.7,30.2,21.6
2,199,12,24.7,13.1,20.7,11.3,8.3
2,200,24,43.6,24.4,38.5,21.7,16.9
2,201,14,27.9,15.6,23.7,13.5,10.6
2,202,8,17.9,11.5,15.3,9.7,8
2,203,25,48.2,29.5,40.5,26,19.9
2,204,17,26.3,14.1,31.2,16.5,11.3
2,205,14,24.4,13.7,21.8,12.2,10.2
2,206,12,23.1,13.2,19.6,13.1,9.9
2,207,11,23.7,12.8,19.9,13.5,10.7
2,208,15,36,19.3,30.2,17.1,13.5
2,209,12,25.3,14.9,21.6,11.1,9.6
2,210,17,36.4,18.6,27.7,16.9,12.9
2,211,20,35.5,22.2,34.6,18.8,15.4
2,212,20,31.8,21.3,34.5,18.9,18.4
2,213,49,86.4,54.3,88.3,43.1,39.5
2,214,30,54.3,34.5,52.1,31.7,26.7
2,215,22,43.3,28.7,39,24,19.8
2,216,25,42,26.1,40.4,20.8,17.8
2,217,57,104.5,60.9,106.9,54,50.7
2,218,16,30.6,17.4,28.7,14.7,17.2
2,219,26,56.8,32.2,48.6,23.2,22.6
2,220,26,55.8,30.2,45.9,26.5,20.8
2,221,39,89.7,50.7,77.3,37.8,36.4
2,222,27,54.9,33.5,46.8,24.9,23.3
2,223,16,38.8,24.5,35.2,18.5,16.3
2,224,14,29.5,18.2,25,15.8,11.8
2,225,14,31.1,18.2,27.4,12.4,14.1
2,226,13,27.2,18.8,23.3,12.9,13.3
2,227,7,12.2,7.5,10.9,5.3,5.6
2,228,40,86.6,57.3,77.2,37.3,36
2,229,46,103.9,58.6,79.4,42,38.8
2,230,30,62.9,38.4,50.7,28.3,23.2
2,231,45,96.9,62.8,60.5,40.3,38.1
2,232,33,80.5,43.2,44.2,37.2,35.3
2,233,64,139.7,85,81.5,63.6,52.6
2,234,25,56.6,36.8,35.9,24.5,22.2
2,235,47,100.7,63.3,67.7,42.8,37.5
2,236,25,50.2,30.6,30.5,22.3,23.2
2,237,35,77.1,49.3,49.7,36.4,27.2
2,238,8,18.1,10.3,9.5,8.5,6.9
2,239,15,31,18.3,16.6,13,11.1
2,240,27,57.3,34.9,31.8,22.3,21.2
2,241,6,16.6,10,8.9,7.2,6.4
2,242,7,17.6,8.7,8.3,6.6,7.9
2,243,28,45.6,29,26.9,18.4,21.6
2,244,9,17.7,11.6,11.1,6.8,7
2,245,16,32.7,20.3,20.8,18.1,13.3
2,246,54,104.8,66.5,59.8,46.4,42.4
2,247,43,78.6,49.5,47.5,33.8,31.5
2,248,30,63.5,46.8,37.1,30.6,25.2
2,249,60,141.3,85.4,75.3,57.4,45.9
2,250,15,32.6,23.1,19.1,16.9,19.7
2,251,27,55.2,39,33.4,28.4,27.1
2,252,9,21,14.2,12.2,12.4,9.6
2,253,52,102.6,71.7,60.4,43.9,43
2,254,21,28.2,31.4,26.8,20,17
2,255,50,60.7,67.9,54.6,37.8,37.3
2,256,24,30.7,32.6,27.2,17.5,19.5
2,257,24,37.9,38.2,32.7,24.4,24.6
2,258,43,52.9,60.8,50.2,32.6,31
2,259,67,87.9,85.5,79.7,53,49.2
2,260,39,56.7,52.7,41.4,30,33.9
2,261,24,39,34.9,28,21.3,23
2,262,24,43.2,34.5,30.6,21.4,25.5
2,263,11,23.5,20,15.5,14.8,11.8
2,264,38,87.9,66.2,45.5,37.6,35.4
2,265,27,53.5,46.8,38.6,28.2,25.8
2,266,35,71.5,73.5,50.9,39.5,32.2
2,267,29,59.7,47.8,42.7,26.3,21.9
2,268,13,31,25,20.1,15.5,12.6
2,269,16,30.4,23.7,20.3,14,14.5
2,270,15,33,23.6,20.7,12.5,11.2
2,271,20,38.4,32.2,26.3,22.1,16.7
2,272,28,53.8,41.8,36.5,25.5,21.6
2,273,30,67.6,55.7,42.2,26.3,23.5
2,274,17,33.7,31.4,29.1,18.8,16.8
2,275,45,83.8,53.9,54.4,40.4,33.4
2,276,11,21.9,14,12.9,9,8.2
2,277,19,34.5,21.1,21.5,16.7,16.1
2,278,13,23.7,16.7,16.5,11.4,8.9
2,279,17,31.4,20.8,18.4,13.2,12
2,280,14,30.6,18,18.7,11.3,11
2,281,15,26.6,17.3,17.2,15.2,12.1
2,282,128,260,178,166.8,117.3,103.4
2,283,32,63.4,46.2,43.7,28.2,25.2
2,284,28,51.8,34.1,36,23,21.3
