surah,verse,tokens,period
1,1,4,meccan-early
1,2,4,meccan-early
1,3,2,meccan-early
1,4,3,meccan-early
1,5,4,meccan-early
1,6,3,meccan-early
1,7,9,meccan-early
2,1,1,medinan
2,2,7,medinan
2,3,8,medinan
2,4,12,medinan
2,5,8,medinan
2,6,11,medinan
2,7,12,medinan
2,8,11,medinan
2,9,10,medinan
2,10,12,medinan
2,11,11,medinan
2,12,7,medinan
2,13,19,medinan
2,14,16,medinan
2,15,7,medinan
2,16,11,medinan
2,17,17,medinan
2,18,6,medinan
2,19,19,medinan
2,20,25,medinan
2,21,11,medinan
2,22,23,medinan
2,23,20,medinan
2,24,13,medinan
2,25,34,medinan
2,26,39,medinan
2,27,20,medinan
2,28,13,medinan
2,29,19,medinan
2,30,28,medinan
2,31,15,medinan
2,32,12,medinan
2,33,22,medinan
2,34,13,medinan
2,35,18,medinan
2,36,19,medinan
2,37,11,medinan
2,38,17,medinan
2,39,10,medinan
2,40,13,medinan
2,41,18,medinan
2,42,8,medinan
2,43,7,medinan
2,44,10,medinan
2,45,8,medinan
2,46,8,medinan
2,47,11,medinan
2,48,19,medinan
2,49,18,medinan
2,50,10,medinan
2,51,12,medinan
2,52,8,medinan
2,53,7,medinan
2,54,26,medinan
2,55,14,medinan
2,56,7,medinan
2,57,18,medinan
2,58,20,medinan
2,59,18,medinan
2,60,28,medinan
2,61,59,medinan
2,62,24,medinan
2,63,15,medinan
2,64,13,medinan
2,65,12,medinan
2,66,9,medinan
2,67,20,medinan
2,68,23,medinan
2,69,18,medinan
2,70,17,medinan
2,71,24,medinan
2,72,10,medinan
2,73,11,medinan
2,74,37,medinan
2,75,19,medinan
2,76,23,medinan
2,77,9,medinan
2,78,11,medinan
2,79,24,medinan
2,80,23,medinan
2,81,13,medinan
2,82,10,medinan
2,83,29,medinan
2,84,15,medinan
2,85,49,medinan
2,86,13,medinan
2,87,28,medinan
2,88,10,medinan
2,89,26,medinan
2,90,27,medinan
2,91,30,medinan
2,92,11,medinan
2,93,27,medinan
2,94,17,medinan
2,95,9,medinan
2,96,25,medinan
2,97,18,medinan
2,98,12,medinan
2,99,10,medinan
2,100,10,medinan
2,101,22,medinan
2,102,74,medinan
2,103,12,medinan
2,104,12,medinan
2,105,25,medinan
2,106,19,medinan
2,107,17,medinan
2,108,18,medinan
2,109,33,medinan
2,110,17,medinan
2,111,18,medinan
2,112,17,medinan
2,113,31,medinan
2,114,30,medinan
2,115,12,medinan
2,116,14,medinan
2,117,11,medinan
2,118,24,medinan
2,119,10,medinan
2,120,31,medinan
2,121,15,medinan
2,122,11,medinan
2,123,18,medinan
2,124,19,medinan
2,125,22,medinan
2,126,30,medinan
2,127,14,medinan
2,128,17,medinan
2,129,16,medinan
2,130,18,medinan
2,131,9,medinan
2,132,16,medinan
2,133,27,medinan
2,134,15,medinan
2,135,15,medinan
2,136,31,medinan
2,137,19,medinan
2,138,10,medinan
2,139,14,medinan
2,140,30,medinan
2,141,15,medinan
2,142,21,medinan
2,143,45,medinan
2,144,34,medinan
2,145,32,medinan
2,146,14,medinan
2,147,7,medinan
2,148,19,medinan
2,149,17,medinan
2,150,31,medinan
2,151,17,medinan
2,152,6,medinan
